L2_CODE,Public Services_3_inc,Public Order and Safety_3_inc,Industrial and Economic Affairs_3_inc,Local Government and Rural Development_3_inc,Housing_3_inc,Health_3_inc,Education and Technology_3_inc,Social Security and Welfare_3_inc,Public Services_4_inc,Public Order and Safety_4_inc,Industrial and Economic Affairs_4_inc,Local Government and Rural Development_4_inc,Housing_4_inc,Health_4_inc,Education and Technology_4_inc,Social Security and Welfare_4_inc,Public Services_7_inc,Public Order and Safety_7_inc,Industrial and Economic Affairs_7_inc,Local Government and Rural Development_7_inc,Housing_7_inc,Health_7_inc,Education and Technology_7_inc,Social Security and Welfare_7_inc
1004,-0.15657144,0.0196927,-0.051361233,-0.097466215,0.034902626,-0.014709472,-0.012696394,0.010746457,-0.252407462,0.097169765,-0.583870457,-0.050741109,0.118057384,-0.200860606,-0.153350729,0.340796343,-0.673928598,-0.098789987,,0.096614838,-0.051033386,,-0.62125601,
1006,-0.128748679,-0.003099519,-0.034511942,0.121572702,-0.020970869,-0.049161092,-0.024583025,-0.022085453,-0.214697629,0.10768576,1.198873836,0.068919239,-0.06710958,-0.043170621,0.036922797,0.311033442,0.574718108,-0.468114654,-0.009943951,0.465413217,-0.271300932,-0.322204669,-0.649359087,-0.274335733
1009,-0.235265603,0.019465607,-0.086223091,0.034261195,-0.023018547,0.015955936,-0.007401519,-0.010924025,-0.173478713,-0.097293222,0.242580304,0.07351013,-0.243520437,-0.143982873,0.187915758,0.075128775,-0.198588343,-0.510394266,,0.97876008,0.489636564,1.307735042,0.373349329,
1042,-0.142024396,0.071311683,-0.024859822,0.001356195,0.087886472,-0.003419141,-0.002791357,0.026473872,-0.075948497,-0.006434457,1.205522156,-0.132273969,-0.01206808,-0.075628446,0.241344812,0.357451848,-0.739491284,-0.663811151,,-0.74069925,,0.320905624,-0.368388523,
1078,-0.189685698,-0.004184596,0.001183886,-0.090100923,-0.066535821,0.043442869,-0.059395671,-0.046605585,-0.17718826,-0.086781855,-0.184850864,-0.079964546,-0.059430096,-0.194410248,-0.128234276,0.495134287,-0.122109982,-0.418292308,,-0.20858641,-0.232529487,-0.182908305,-0.660121726,
1079,-0.169310853,0.023868571,0.046896701,-0.145601497,0.034662754,0.035029194,-0.030782316,0.035420775,-0.283626738,-0.048521532,-0.632917052,0.332429324,0.151731392,-0.133009296,-0.102100931,0.456806563,-0.395767186,-0.838312963,,,,,1.888654071,
2003,-0.084302897,-0.004259777,0.007736015,0.043749848,0.032311062,-0.046069054,-0.018234183,0.061649776,-0.454944482,0.082539729,-0.031133421,0.077119227,-0.020551083,0.60244514,0.147051729,-0.038226281,0.010593995,0.310705428,,,,0.803562399,-0.314232937,
2012,-0.232688651,0.041095729,-0.006346818,0.115941519,-0.088093174,0.040363576,0.02349121,0.188656773,-0.516603026,-0.118304996,-0.320442328,0.26752123,0.041844485,-0.229411668,0.190417096,0.705077539,-0.207717202,0.088385384,,,,-0.080610132,0.080489794,-0.477802458
2013,-0.144608722,0.067213709,-0.097050387,0.021350249,-0.103722093,0.338465242,0.398796466,0.175068791,-0.119784025,0.056593693,-0.419814294,0.163486382,0.06103433,-0.041209781,0.757851247,0.756868431,0.733900302,1.679921651,,,,,-0.438466652,
2015,-0.098621756,0.013189708,-0.01980833,0.094828726,-0.049501053,0.017459113,0.010955181,-0.350274284,-0.020239836,0.05309239,-0.191470119,-0.005307092,0.436998606,0.072087865,-0.355917926,0.316482898,0.513472263,0.329086929,-0.044334343,0.196504882,-0.119396251,0.52456012,0.117584515,0.276357827
2019,-0.146019755,0.012634955,-0.083018901,0.193188466,-0.05120853,-0.003905886,-0.007812168,0.049835523,-0.210653826,0.079935292,-0.120241691,-0.026299993,-0.434339209,-0.217890311,0.483511357,1.023555425,-0.377164625,-0.160683028,,0.465413217,,-0.383545302,-0.366278796,
2022,-0.221185292,0.026007143,0.091933907,0.102717351,-0.013989455,0.048646777,0.019858381,-0.023566374,-0.276178635,0.049106638,-0.222084142,0.162537041,-0.047063151,-0.778862223,-0.037869701,-4.03E-05,2.783680657,0.268315698,,-0.344647286,,0.053954574,-0.383231867,
2030,-0.161364631,0.028038579,-0.021318228,-0.146413944,-0.100950493,0.017177251,0.009065275,0.20780179,-0.339515847,-0.03712138,-0.041483597,0.258381844,-0.240675864,0.005656308,0.011754905,0.407056765,-0.79565789,,,,,-0.141941881,-0.167949706,
2046,-0.119006673,0.038624755,-0.030030107,-0.085852455,-0.004708712,-0.041827294,-0.028474818,-0.038643565,-0.445235055,0.372198811,-0.055422279,0.130186502,-0.513493969,0.044405272,0.029919859,0.033828707,-0.073191304,-0.408579764,,0.310705428,0.310705428,0.107072607,-0.328053452,
2051,-0.17990289,0.065356314,-0.04844651,-0.062032627,0.049533117,0.019202146,1.63E-05,0.038644052,-0.2033523,0.085751625,-0.230702308,0.088456261,-0.170926472,-0.045779403,0.018570263,0.036511399,,0.71650063,0.435805858,-0.106106318,,1.009456059,-0.695267178,
2075,-0.243000591,0.010098274,-0.079518823,-0.021448613,-0.011680995,-0.046506391,-0.107654996,0.038438301,-0.255229234,-0.0653382,-0.330052875,0.129684127,-0.236940567,-0.171400487,0.113786553,0.195702177,,0.282393117,,0.716116239,,,2.210559501,
2084,-0.131221285,-0.057767341,-0.076790992,-0.03592684,-0.017576715,-0.065789701,-0.050013892,0.042992563,-0.263440258,0.170209597,-0.328818619,0.015679945,-0.001560982,-0.164705083,0.052636826,-0.195671987,,0.376022566,-0.256528042,,-0.42421014,-0.00383179,-0.387770325,
3026,0.021081038,0.216924836,,0.624389182,,0.714589552,0.527684647,0.270660318,0.6880965,3.364179427,-0.083980123,6.465990997,0.670249136,0.842862807,1.117219558,-0.261853626,0.571480602,1.030536117,,,,0.761207498,0.565776479,0.17510971
3029,-0.166082063,0.004033702,-0.056849213,-0.001763265,-0.042927349,0.039487274,-0.0011596,0.029210975,-0.240453429,-0.044754558,-0.075432702,0.058507984,-0.303490826,0.353172574,0.203503099,0.23356139,-0.161792887,-0.336952079,3.673595066,-0.567088245,,-0.216361263,-0.534376118,0.95039209
3033,0.192727222,0.094533621,-0.023463316,0.058504046,-0.047663142,-0.019740725,0.090997479,0.012190506,-0.168300945,0.052649611,0.177453823,0.261787504,-0.085585386,-0.060794352,0.270940201,-0.144991752,-0.023946388,-0.223658731,0.079699456,,,0.024625566,-0.495923953,-0.131540796
3035,-0.141841947,0.19520213,-0.038009556,-0.101164312,0.132699055,-0.076018137,-0.022061347,0.039364062,-0.073269803,0.055990514,-0.466004344,-0.258615487,0.02700351,0.165274194,0.590486153,0.53679754,2.17516085,-0.15272506,,,,,-0.456610236,
3039,-0.21556458,-0.0024921,-0.024714585,0.011158727,-0.047255655,0.061468834,-0.015866543,-0.027199192,-0.117242089,0.030419488,-0.106141762,0.188933397,-0.340277438,0.047839139,0.07622362,0.933443527,0.814589497,-0.516072943,,,,,-0.172873123,-0.001241465
3048,-0.141100508,0.031487615,0.00586878,-0.02558961,-0.095046387,0.090626317,-0.01569309,0.005765333,-0.484652874,0.160806234,-0.130195949,0.160947844,-0.192159577,3.11147349,0.446548023,0.859728717,-0.460709876,-0.067103825,,0.638381785,,,0.05170175,1.101804562
3054,-0.190457684,0.012945888,-0.085800978,0.066000606,-0.027698704,-0.003644721,-0.024314993,0.048588675,-0.454788694,-0.042264552,2.085376362,0.068202063,-0.085662991,0.193855286,0.28656772,0.692495544,-0.279472189,-0.707526044,,0.107748269,-0.46490675,,-0.476017162,
3056,-0.143758397,0.003639606,0.015319407,0.183071217,-0.089222655,0.00836957,0.023063601,0.006604495,-0.282802988,0.099317853,-0.117436158,0.135519555,0.176715992,-0.214003713,0.033692534,0.248979309,-0.311017884,,,,,,-0.393261285,
3059,-0.150152153,0.017716386,-0.02356767,-0.096894307,0.044053741,0.017738351,0.001102126,0.012710486,-0.304394977,0.219747381,-0.061031517,0.06135798,-0.159700666,0.239841032,0.105040866,0.812697356,0.627422586,-0.344647286,,,-0.239162288,0.21347743,,
3061,-0.21137296,0.00031548,-0.272571904,0.099072195,-0.005329889,-0.026373533,0.010762693,0.039323476,-0.080447332,0.004791188,-0.256536099,0.100343395,-0.210811507,0.174844075,0.116515012,0.195716423,-0.260938488,0.316934001,,,,0.509329242,-0.600775742,-0.42115553
3067,-0.096678895,0.127928364,-0.072266759,-0.026862304,0.024213804,-0.034205445,-0.000333616,-0.045849827,-0.010628844,0.038955774,-0.205526245,0.396088404,-0.141592896,-0.199458324,0.415136259,0.035869439,0.249708591,-0.009813136,0.236861445,,,0.126601424,-0.203558209,0.786190413
3068,-0.19383922,0.006285189,-0.113314044,-0.12199106,-0.068643121,-0.030998367,0.027084867,0.342989931,-0.323631537,-0.073014915,0.237700255,0.37492175,-0.150593883,-0.120904045,0.478160001,0.339609588,,0.053047977,-0.413834713,,,0.410658451,0.32803373,
3072,-0.200264084,0.015063305,-0.082440197,0.093060147,-0.079693885,0.037012453,-0.005020688,-0.075511588,-0.415705302,-0.215492834,-0.171787323,0.224140637,0.595272507,-0.071226333,0.143549465,1.569472353,-0.111496573,-0.189144559,,-0.416895649,,,0.058377292,1.42695486
3082,-0.151789042,0.011551234,-0.069136074,-0.110434667,-0.053760277,0.0306005,0.034414102,0.003704694,-0.329902676,0.001103959,-0.558437447,0.006397624,-0.163788551,0.085527074,0.202647996,0.469612921,-0.339915436,-0.508929156,,-0.724116597,,0.801392307,-0.236158209,
3086,-0.12989139,-0.015110267,0.023834803,0.019030498,-0.03748028,0.029852571,0.055429805,-0.041667589,-0.268931453,0.102844487,-0.112643393,-0.146464366,0.467012902,-0.042508552,0.376123245,0.388573625,-0.404000872,-0.512281,,,,,-0.503118894,
3089,-0.16732706,0.014652366,-0.011797832,-0.011573668,-0.056760232,0.00544119,0.008211092,-0.114090379,-0.222071322,0.048152384,0.000187996,0.308876467,-0.405376543,0.170718786,0.207415988,1.65861816,-0.683434564,-0.139957929,,,,0.149564706,0.091309462,
3093,-0.174874803,0.017702692,-0.052031148,0.141782265,0.001817705,0.073904757,-0.01375719,0.120850762,-0.296023055,-0.040466596,0.20963953,0.10810636,-0.253241023,-0.265846263,0.239646483,0.988369553,0.488861318,-0.199423175,,-0.511528928,,0.145566208,-0.681690877,
4001,,,-0.035354317,-0.088073206,,,,-0.398100955,,-0.981595322,-0.468237594,-0.945195837,,,,0.574423118,,,,,,,,
4018,-0.130429487,-0.039745543,-0.069629767,-0.172078264,0.001549061,0.043013544,0.009087437,0.167232233,-0.394322823,0.256651832,-0.337612311,0.180652494,-0.03755327,-0.109825054,0.012805794,1.025995746,-0.062796863,-0.4683786,,-0.334160977,,0.725804225,-0.589107202,-0.646069083
4041,-0.223187232,-0.008878168,-0.051064959,0.103112802,-0.113844806,0.054214927,0.006642489,-0.017526685,-0.213752731,-0.005139327,-0.253335312,0.118342578,-0.285288308,-0.229239041,0.141178764,0.372692148,-0.073191304,-0.014634613,,,,,-0.627539389,-0.209614888
4044,-0.195773778,-0.018134232,-0.053042211,-0.02208003,0.018032562,0.078371909,-0.012788026,0.083303683,-0.3870532,0.047461513,2.314344026,0.335088735,0.274814505,0.169129609,0.202133338,0.957490178,0.16792606,-0.372765299,,,-0.267293391,,0.041899328,-0.370357479
4047,-0.19337924,-0.01054458,-0.034810123,-0.029906699,-0.083028718,-0.014351335,-0.018281641,-0.045526505,-0.23124405,0.048809684,-0.198451313,0.264162158,0.08612833,-0.404028484,-0.101151198,0.291425885,-0.132495474,0.057192905,0.327695487,-0.704801209,0.435805858,-0.756149026,-0.488945218,0.026126849
4050,-0.180280907,0.006408176,-0.092961542,0.132545171,-0.065216429,0.107675495,-0.02983688,-0.009918809,-0.330772758,-0.029904067,-0.035467177,0.249473728,-0.093454634,0.447886553,0.214459415,1.458373728,-0.064368175,-0.054591282,,,,,-0.504082525,
