L2_CODE,Public Services_3_inc_pop,Public Order and Safety_3_inc_pop,Industrial and Economic Affairs_3_inc_pop,Local Government and Rural Development_3_inc_pop,Housing_3_inc_pop,Health_3_inc_pop,Education and Technology_3_inc_pop,Social Security and Welfare_3_inc_pop,Public Services_4_inc_pop,Public Order and Safety_4_inc_pop,Industrial and Economic Affairs_4_inc_pop,Local Government and Rural Development_4_inc_pop,Housing_4_inc_pop,Health_4_inc_pop,Education and Technology_4_inc_pop,Social Security and Welfare_4_inc_pop,Public Services_7_inc_pop,Public Order and Safety_7_inc_pop,Industrial and Economic Affairs_7_inc_pop,Local Government and Rural Development_7_inc_pop,Housing_7_inc_pop,Health_7_inc_pop,Education and Technology_7_inc_pop,Social Security and Welfare_7_inc_pop
1004,-0.060154994,0.02243667,0.205179542,-0.021872922,0.149788186,0.00873102,0.068638561,0.073447738,0.594956071,0.104368077,1.497080173,-0.062843537,0.226349915,-0.115550155,-0.07049567,0.140600002,,,,,,,,
1006,0.026036186,0.070602619,0.122447997,0.029282659,0.116877097,0.090105278,0.084272375,0.097631675,0.608636282,0.103527946,0.295516319,0.021858256,-0.272355263,-0.001961707,0.119386179,0.135655533,-0.659680236,-0.553081498,,,,-0.585268422,-0.61287286,-0.621899801
1009,-0.155144826,-0.064150563,0.015718446,-0.013421734,0.016817719,-0.191831219,0.011553486,0.00915481,0.261502498,0.030384717,0.718409275,0.262228158,-0.004687471,-0.298658022,0.07800032,0.035069552,-0.409333736,-0.723313582,,,,-0.624423166,-0.543838176,
1042,-0.003256686,0.098576021,0.25009657,0.061223672,0.1829999,0.048462511,0.110786636,0.07910224,0.848767772,0.146844361,1.435612308,0.01986626,0.239545791,0.39129555,0.124749704,0.128774686,,,,,,,,
1078,-0.059052121,0.102205707,0.242184444,0.11546586,0.137820853,0.09584719,0.086478305,0.113508423,0.549420302,0.048689772,0.741352811,0.153595891,0.035083877,0.72271017,0.143622357,0.118963837,0.516726674,-0.645011108,,,,-0.388377986,-0.56535313,-0.423996342
1079,-0.040503873,0.08411137,0.30472694,0.112189645,0.223764009,0.114286287,0.074121043,0.193580679,0.767183013,0.223042623,1.751489799,0.216470527,-0.124508678,0.556264636,0.194333004,0.132993964,-0.578319482,-0.462972725,,,,,,
2003,-0.027453614,0.290723875,0.623884452,0.004431814,0.215693091,0.022974526,0.008592406,0.162612358,0.71488176,0.182857968,2.660047336,0.149426135,0.138135417,0.48163001,-0.140652828,-0.091616165,-0.520282252,,,,,,,
2012,,1.723093798,0.229578187,0.117482604,0.141995707,0.05256437,0.032235855,0.100947552,,2.232603247,1.678637861,0.047415126,-0.303177218,-0.142795753,0.044265705,0.185483685,,,,-0.577591358,,-0.383064921,,
2013,-0.044251095,0.071342075,0.287333494,0.065996013,0.105682264,-0.038592823,-0.017017881,0.079089396,0.408543008,-0.067589435,1.101201751,0.189126477,-0.136217198,0.035066132,0.16705446,0.10663374,,,,,,,-0.397368355,
2015,0.021725191,0.060935936,0.185702822,0.042695109,0.142858491,0.071329367,0.061301275,0.02034201,0.691281384,0.158489183,0.75109687,0.189075258,0.178283168,0.07899109,0.126265942,0.218013964,-0.046014804,-0.550468374,-0.709445821,,,,,-0.600621369
2019,-0.05878745,0.039527157,0.28568082,0.047485767,0.11422338,0.078064747,0.047483412,0.085742648,0.507545016,0.211904479,1.163740391,0.189521466,-0.119735248,0.184531228,0.162340265,0.193950496,-0.0099993,,,0.297413775,,,,
2022,-0.017428531,0.113716678,0.310021585,0.080130231,0.285289525,0.118942965,0.080661278,0.220355679,0.724021218,0.665287953,1.850782172,0.18884215,1.322768354,0.104390097,0.005761648,0.171795,,,,,,,-0.437692598,
2030,-0.020900791,0.063283081,0.302223381,0.154692037,0.158492464,0.099883829,0.092194842,0.116915233,0.614009737,0.08630635,0.864388814,0.16134827,-0.041331503,-0.003374665,0.197944925,0.183633388,,,,,,,,
2046,-0.013419186,0.07551345,0.199693984,0.137790828,0.20118503,0.068205001,0.080639124,0.044582378,0.571707359,0.307372664,0.991669961,0.187641522,0.267156789,0.303014909,0.062133017,0.244031564,,-0.509380914,,,,,,
2051,-0.058769781,0.080735586,0.260822628,0.094400079,0.150548717,0.004568145,0.033454818,0.119668812,0.593840504,0.055796624,0.988216273,0.126236928,-0.154611735,-0.000933174,0.118103734,-0.04369617,,,,,,,,
