L2_CODE,Education and Technology_3_sum,Education and Technology_4_sum,Education and Technology_7_sum,Health_3_sum,Health_4_sum,Health_7_sum,Housing_3_sum,Housing_4_sum,Housing_7_sum,Industrial and Economic Affairs_3_sum,Industrial and Economic Affairs_4_sum,Industrial and Economic Affairs_7_sum,Local Government and Rural Development_3_sum,Local Government and Rural Development_4_sum,Local Government and Rural Development_7_sum,Public Order and Safety_3_sum,Public Order and Safety_4_sum,Public Order and Safety_7_sum,Public Services_3_sum,Public Services_4_sum,Public Services_7_sum,Social Security and Welfare_3_sum,Social Security and Welfare_4_sum,Social Security and Welfare_7_sum
1004,4331919990,2457308618,1759902.722,1748959565,142758633.2,1049399.696,203877681,73593488.26,409226.1905,425500448.8,1971793154,357142.8571,2256190923,11294088026,5189990.53,4425738918,623643153.2,1240723.611,1040997295,1181878513,7243102.75,422084444.8,2918450130,769480.5195
1006,9695310026,8736300434,5953726.927,13249906060,3544068027,8516151.372,946429353.7,247543681.2,3488568.723,2584407706,4527779648,174512.987,3329018333,21346232947,1081939.144,21794619072,3685145534,6457401.257,3410960974,5636800676,74525793.79,1374116544,9280136243,1822568.489
1009,5386665225,5532363062,4516445.574,4247274381,529609045.2,30678554.08,304887109.2,72100886.6,851596.3203,906828585,1835874741,654220.7792,2926668032,13865586644,5761872.87,8029528373,937078940.9,4405723.654,1505795759,1151738207,18256351.6,635866075,4518970001,409226.1905
1042,3371232344,1532478753,3401146.726,1689065673,625368125.8,12734481.21,190935024.7,74556833.79,351393.3983,590160164.3,2378687765,,1499766059,6124525333,,3487417678,935823861.6,1727024.433,913640355.7,1339922816,29383110.69,384425603.2,3048415923,475514.0693
1078,5134641651,6517668592,1219765.421,3074376399,2275151208,3432105.086,375877899.5,105330432.5,,1276618208,4059538022,,2672251339,15276940535,503092.2546,7102383469,899330987.4,2380843.205,1206804241,1958242391,34719221.7,503380328.4,3134725734,391210.189
1079,3396978475,3439272078,1844615.801,1790967828,523720778.4,1940.217391,207477435.5,32790514.53,1720.652174,994301771.4,3059670197,,1592001958,16867194069,349025.974,4491663659,590745841.7,2044659.271,1031700105,1668545638,10897128.94,355988524.5,3965030378,892857.1429
2003,2550333566,1175245332,763648.7949,1550410782,360495224.5,2028679.654,189612012.7,30649771.91,,1293312199,7389224599,52083.33333,1550767832,9604659292,149428869,11447750453,627031742.3,2650085.288,1193970838,688626518.3,20387046.3,421696041.2,1086326975,
2012,5249686153,2514925819,1077579.758,3317159156,416491927.3,6556118.774,281525382.2,102811222,206117.0213,1065083171,3973877604,,2490380680,12418531076,9512175.905,6960379811,1236981745,1561459.485,1315961641,1577765993,27961239.58,638105344.8,9747187380,
2013,8301910703,7596985924,1138871.967,4095634540,656592926.7,3180668.002,253034513.9,134929135.3,338145.8967,901677924.1,3266740225,93085.10638,2799068326,10249813988,151988.6364,5620767414,665552684.4,5858242.263,1587101065,2646141103,69766718.88,706460930.2,9204691551,770883.9919
2015,13313357968,13524691736,1417423.651,17176372682,4154733875,7729174.035,3996449405,69623773520,9141369.048,6547924800,6252484748,7965599.215,4586007959,69530995095,10975915.98,57224322486,7778595474,26017760.08,10838351636,20624416426,432127932.9,9844670345,10639555543,1539213.793
2019,7747927524,12664960536,1669844.052,9230020668,1646824133,2935296.353,552139379.6,208329195.2,,2921796493,11468741223,643983.269,4900670556,24823754913,3700905.077,18476368712,2673109794,5800776.459,2993860058,5245764776,41299455.36,768737106.4,10736155646,545323.3871
2022,3511962950,3319387584,838406.8914,3474050793,1039356497,1109897.416,267041863.9,1650873797,,1297318477,1607841847,,1787215991,7847164451,,10330073306,1468911672,2447031.204,1386311405,836273400,27977799.23,459181796.2,1519122985,239301.8018
2030,4940591126,1740035032,519743.1474,3145674641,522027363.9,2517907.952,201376585.1,84529009.36,12348.21778,1458706627,2448327675,,2153717180,8174852156,239361.7021,7674806368,955067075.5,2868284.671,1237563522,2498699551,14105851.79,330899211.3,4186178019,443435.0137
2046,2426281387,926112364.1,869808.5212,1553753330,181797583.1,3055114.212,192074941.8,47812390.55,,1511097942,1352112377,,1113708546,7404814117,301198976.9,13409676990,751590832.9,10138006.83,1312113179,875275233.3,7262553.747,739202640.4,1207268334,487082.9238
2051,7584022510,4762099722,126329.7872,3359281247,471187257.6,9025443.55,207708470.4,92712648.01,1343962.996,658533031.3,2101945241,68181.81818,2121862497,6847278536,10373944.81,4343326289,754857618.1,5250152.08,1189410008,1876359541,22666739.17,466412617.2,8854006943,178571.4286
2075,5662897846,9065551832,558359.5261,5387775587,2244834893,,365660147.2,757994722.6,,1506785636,8662075308,87155.40541,3969654992,18539949429,170097.7273,7590043284,1708327004,2985966.715,1535467972,2804287878,13899613.9,572364630.7,6666581787,450825.2165
2084,3837731466,2426681538,2179469.234,2429937449,1104053368,9378840.449,252115854.6,59686468.18,890938.594,1691761309,1206911459,1079324.324,1073133428,32551787568,2884029564,13819633272,1140491629,6712069.414,1563760787,1341867716,47790428.59,644740488.5,889401459.8,367637.3136
3026,29136290693,4.08E+11,2094147.835,49704710294,25840038805,4443728.901,17737625695,40457244731,4981964.463,16485039730,2.42E+11,8417981342,12041304332,1.17E+11,326764659.4,78958606887,35200659416,6750744.344,50286450031,2.29E+11,1.43E+11,12039305739,1.08E+11,1910431.763
3029,6547158935,6485928870,1728540.298,8430403755,5495300061,20305687.87,358283649.8,144971406.7,,1524683501,3249827883,943055.9477,3883615887,22032922625,,8896023851,1329379470,2614245.418,1640498669,2843227634,28058360.79,883976432,6656716969,920589.8268
3033,6153071048,2253717472,992288.961,4949320644,8398291321,,400209806.4,107529054.3,676291.7933,1417691789,8172121979,423074.3347,2917587951,21375962986,8355618.425,17580940170,3371029705,5844605.808,2230306493,2744129225,23764633.4,1706611145,4589100641,611904.7619
3035,5350747954,5405139161,1201247.221,5484407310,1843529357,3049105.876,429282084.5,456826611.4,1402018.859,1188189165,2568922614,,2961310195,19966406544,,5685082837,900710847.2,965565.6956,1298919600,2027247785,32563972.59,512374744.9,7472802820,514742.0147
3039,5995453635,6310364125,1025533.642,4462375267,2425233802,3034940.321,224856034.3,67724825.23,280370.671,1053709094,7713261875,170454.5455,2153710908,19254722678,,8570014854,2190893385,6077707.661,1444163065,3804700740,10760716.95,940908371.8,11344889845,280370.671
3048,4620204354,4753665179,509825.283,3840515439,1362830595,257089.6056,280767868,52448426.81,,1462418083,8277022736,85227.27273,2328163160,20263826750,1344291.126,7162543741,998969436.2,2775359.1,1689726301,1453384019,18885387.18,618521743,5547733911,803571.4286
3054,4286625203,6352657374,74404.7619,2160634068,768382032.4,558510.6383,229417862.7,289595811.4,178571.4286,832289178.4,3615219805,,2068751067,23382685157,,5734293445,1342769415,2457724.567,1016353844,1233669839,13998248.15,355053785.9,4565949945,178571.4286
3056,3888761718,1914716282,589639.7485,3070295184,3591901919,641071.4286,262119331.6,62322531.78,,1697726114,4772334274,93468.46847,1832382975,6977481247,544547.8723,5212968044,754486773.9,483371.9368,1181005277,1423018356,17228614.57,408908607.3,3277454858,49715.90909
3059,3691522792,1236629149,353519.7431,1931127365,265144859.9,326704.5455,178433979.1,58969795.68,178571.4286,2151519673,41764417926,,1777077623,7138331871,,4536054604,728660151.9,1328484.848,1217439966,1058609744,25232744.31,321757747.4,4561574025,1858.695652
