L2_CODE,Education and Technology_3_sum_pop,Education and Technology_4_sum_pop,Education and Technology_7_sum_pop,Health_3_sum_pop,Health_4_sum_pop,Health_7_sum_pop,Housing_3_sum_pop,Housing_4_sum_pop,Housing_7_sum_pop,Industrial and Economic Affairs_3_sum_pop,Industrial and Economic Affairs_4_sum_pop,Industrial and Economic Affairs_7_sum_pop,Local Government and Rural Development_3_sum_pop,Local Government and Rural Development_4_sum_pop,Local Government and Rural Development_7_sum_pop,Public Order and Safety_3_sum_pop,Public Order and Safety_4_sum_pop,Public Order and Safety_7_sum_pop,Public Services_3_sum_pop,Public Services_4_sum_pop,Public Services_7_sum_pop,Social Security and Welfare_3_sum_pop,Social Security and Welfare_4_sum_pop,Social Security and Welfare_7_sum_pop
1004,5877774.748,3334204.367,2387.927709,2373079.464,193702.3517,1423.880185,276631.8602,99855.47933,555.2594172,577341.1789,2675431.687,484.5900368,3061317.399,15324407.09,7042.049566,6005073.159,846191.524,1683.478442,1412479.369,1603634.346,9827.819199,572706.1666,3959905.197,1044.071261
1006,3664138.332,3301700.844,2250.085762,5007523.076,1339405.906,3218.500141,357683.0513,93553.92335,1318.431112,976722.4889,1711179.005,65.95350983,1258132.401,8067359.39,408.896124,8236817.487,1392723.18,2440.438872,1289100.897,2130310.157,28165.45495,519318.4217,3507232.14,688.8013942
1009,3422277.779,3514843.114,2869.406336,2698395.414,336473.3451,19490.82216,193702.1024,45807.42478,541.0395936,576129.9777,1166375.312,415.6421723,1859382.486,8809140.181,3660.656207,5101352.206,595348.7553,2799.062042,956668.2078,731726.942,11598.6986,403980.9879,2871010.166,259.9912265
1042,5590766.74,2541424.135,5640.375996,2801103.936,1037094.736,21118.54264,316641.832,123643.1738,582.741954,978706.7402,3944755.828,,2487174.227,10156758.43,,5783445.568,1551946.702,2864.053787,1515158.135,2222094.222,48728.2101,637521.73,5055416.124,788.580546
1078,3817577.436,4845850.254,906.8887889,2285781.71,1691562.236,2551.750993,279463.1223,78312.58922,,949158.5187,3018243.883,,1986803.969,11358320.1,374.046286,5280582.505,668647.5743,1770.143647,897252.2238,1455942.298,25813.54773,374260.4672,2330651.104,290.862594
1079,3484080.487,3527458.541,1891.913642,1836890.08,537149.5163,1.989966555,212797.3697,33631.29695,1.76477146,1019796.689,3138123.279,,1632822.521,17299686.22,357.975358,4606834.522,605893.171,2097.086432,1058153.953,1711328.859,11176.54251,365116.4354,4066697.824,915.7509158
2003,28655433.32,13205003.73,8580.323538,17420345.86,4050508.141,22794.15341,2130472.052,344379.4597,,14531597.75,83024995.5,585.2059925,17424357.67,107917520.1,1678976.057,128626409.6,7045300.475,29776.2392,13415402.67,7737376.61,229067.936,4738157.767,12205921.07,
2012,7882411.641,3776164.893,1617.987624,4980719.454,625363.2541,9844.022184,422710.784,154371.2042,309.4850169,1599223.981,5966783.189,,3739310.331,18646443.06,14282.5464,10451020.74,1857329.947,2344.533761,1975918.379,2369018.007,41983.84322,958116.1334,14635416.49,
2013,9043475.712,8275583.795,1240.601272,4461475.534,715242.8396,3464.779959,275636.7254,146981.6289,368.35065,982219.9609,3558540.55,101.399898,3049094.037,11165374.71,165.5649634,6122840.321,725002.9242,6381.52752,1728868.263,2882506.648,75998.60445,769565.2834,10026897.11,839.7429106
2015,4702705.04,4777354.905,500.6794953,6067245.737,1467585.262,2730.192171,1411674.11,24593349.88,3229.024743,2312937.054,2208578.152,2813.705127,1619925.1,24560577.57,3877.04556,20213466.08,2747649.408,9190.307341,3828453.421,7285205.378,152641.4457,3477453.318,3758232.265,543.6996796
2019,5847492.471,9558460.782,1260.259662,6966053.335,1242886.138,2215.318002,416708.9658,157229.5813,,2205129.428,8655653.754,486.0251087,3698619.288,18734909.37,2793.135907,13944429.22,2017441.354,4377.944497,2259517.025,3959067.755,31169.40027,580178.9482,8102758.978,411.5648204
2022,5843532.363,5523107.461,1395.019786,5780450.571,1729378.53,1846.751109,444329.2245,2746878.198,,2158599.796,2675277.616,,2973737.089,13056846.01,,17188141.94,2444112.598,4071.599342,2306674.551,1391469.883,46552.07858,764029.611,2527658.877,398.1727151
2030,13685847.99,4820041.639,1439.73171,8713780.17,1446059.18,6974.814272,557829.8756,234152.3805,34.20558943,4040738.58,6782071.121,,5965975.567,22645019.82,663.0518064,21259851.43,2645615.167,7945.3869,3428153.801,6921605.404,39074.38169,916618.3139,11596060.99,1228.351839
2046,12769902.04,4874275.6,4577.939585,8177649.105,956829.3849,16079.54848,1010920.746,251644.1608,,7953147.062,7116380.93,,5861623.925,38972705.88,1585257.773,70577247.32,3955741.226,53357.93067,6905858.839,4606711.754,38223.96709,3890540.213,6354043.864,2563.594336
2051,18057196.45,11338332.67,300.7852077,7998288.683,1121874.423,21489.15131,494543.9771,220744.4,3199.911896,1567935.789,5004631.526,162.3376623,5052053.565,16303044.13,24699.86858,10341253.07,1797280.043,12500.3621,2831928.591,4467522.717,53968.42659,1110506.231,21080968.91,425.170068
2075,7768035.454,12435599.22,765.9252759,7390638.666,3079334.558,,501591.4228,1039773.282,,2066921.311,11882133.48,119.5547399,5445342.924,25432029.39,233.3302157,10411582.01,2343384.093,4095.976289,2106266.08,3846759.778,19066.68573,785136.6677,9144830.984,618.4159348
2084,20522628.16,12976906.62,11654.91569,12994317.91,5904028.707,50154.227,1348213.126,319178.9742,4764.377508,9046851.919,6454071.973,5771.787831,5738681.433,174073730.3,15422617.99,73901782.2,6098885.716,35893.41932,8362357.148,7175763.188,255563.7893,3447810.099,4756157.539,1965.974939
3026,9957720.674,139492169,715.7032931,16987255.74,8831182.093,1518.704341,6062073.033,13826809.55,1702.65361,5633984.87,82665463.16,2876958.763,4115278.309,40106439.49,111676.2336,26985169.82,12030300.55,2307.158012,17186073.15,78329596.56,49028834.81,4114595.263,36870268.88,652.9158453
3029,19256349.81,19076261.38,5083.942052,24795305.16,16162647.24,59722.61137,1053775.441,426386.4903,,4484363.237,9558317.302,2773.693964,11422399.67,64802713.6,,26164776.03,3909939.618,7688.957111,4824996.086,8362434.218,82524.59056,2599930.682,19578579.32,2707.617138
3033,7000080.829,2563956.168,1128.883915,5630626.444,9554370.104,,455301.2587,122331.1198,769.3877057,1612846.177,9297067.098,481.3132363,3319212.686,24318501.69,9505.82301,20001069.59,3835073.612,6649.153365,2537322.517,3121876.251,27035.98794,1941537.139,5220819.842,696.1373856
3035,32826674.56,33160362.95,7369.61485,33646670.61,11309996.05,18706.17102,2633632.42,2802617.248,8601.342692,7289504.077,15760261.44,,18167547.21,122493291.7,,34877808.82,5525833.419,5923.715924,7968831.904,12437102.98,199778.973,3143403.343,45845416.08,3157.926471
3039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
3048,10452951.03,10754898.6,1153.450867,8688948.957,3083327.139,581.6506914,635221.4208,118661.5991,,3308638.196,18726295.78,192.821884,5267337.465,45845761.88,3041.382637,16204850.09,2260111.847,6279.092987,3822910.182,3288199.137,42727.12031,1399370.459,12551434.19,1818.034906
3054,17786826.57,26359574.16,308.7334519,8965286.59,3188307.188,2317.471528,951941.3389,1201642.371,740.9602845,3453482.068,15000912.05,,8584029.324,97023589.86,,23793748.73,5571657.323,10198.02725,4217235.867,5118961.986,58084.0172,1473252.224,18945850.39,740.9602845
3056,16907659.64,8324853.402,2563.651081,13349109.5,15616964.86,2787.267081,1139649.268,270967.5295,,7381417.886,20749279.45,406.3846455,7966882.501,30336874.99,2367.599445,22665078.45,3280377.278,2101.617116,5134805.554,6187036.332,74907.01988,1777863.51,14249803.73,216.1561265
3059,24286334.16,8135718.087,2325.787784,12704785.29,1744374.078,2149.37201,1173907.757,387959.1821,1174.81203,14154734.69,274765907.4,,11691300.15,46962709.68,,29842464.5,4793816.789,8740.031898,8009473.461,6964537.789,166004.8968,2116827.286,30010355.43,12.22826087
3061,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3067,9067812.109,11221008.85,1553.073234,7838302.238,1638575.76,3049.103654,703499.1138,2097127.745,,12016670.45,12697405.17,744.047619,3949432.353,34880088.62,22862.07534,23622171.6,12637835.27,5616.83766,4268743.762,24380709.57,34648.27968,2529975.925,6868151.566,239.6085553
3068,11814665.45,19952322.83,7554.852245,7133306.499,1376593.524,8.638775762,669713.5488,101867.8172,1121.167645,4580197.92,19954115.01,359.5890411,6852400.755,23485119.41,489.2367906,17572649.45,3700887.433,8757.386498,3603161.366,3379638.396,39621.20898,1224294.143,16413431.92,1134.028643
3072,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
3082,24026223.62,10224879.23,14300.62598,15318012.9,3181938.629,38388.76535,1272380.512,355861.2764,327.5681342,2853946.641,21317085.16,,12841524.65,48810114.32,,26057199.19,3339679.259,5277.250265,6129782.829,8975266.087,54410.07025,2435613.157,22599097.02,1384.71984
3086,14559234.09,7225367.282,1668.543371,8448439.296,1314727.912,5442.977256,712811.5541,147276.3979,,2289419.352,2116584.701,,7980857.176,43263868.05,1971.319543,16705094.33,4796906.594,2167.142135,3976083.491,3094324.43,80792.71635,1480077.247,16347824.79,
3089,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
3093,12765901.84,14344528.08,422.5920433,11247161.9,4217358.237,,866734.1449,220434.9408,,3533460.036,12420191.06,527.3169729,7083687.304,31787320.58,6979.275723,20692952.34,5583074.679,7653.317301,3618836.014,6160866.014,54175.69231,1573068.034,21746336.63,348.7205088
4001,5707907.177,5218951.065,3598.492885,3297186.805,519304.9899,6635.275378,405206.7943,50224.09602,9.27320993,2127895.392,4617321.633,,3416475.161,15599153.92,6.039455297,13175605.3,1284458.923,3248.941626,2196283.439,1892619.443,27172.13881,885742.4525,8646502.768,
4018,6692558.529,2949813.059,2175.336318,4768475.513,375022.6631,2266.512016,407463.8221,65369.41186,494.7650664,1137456.598,1626110.01,,3997433.269,11545402.04,2305.103604,18900141.31,1191544.054,4893.824696,2143772.758,2463012.333,48453.34673,928378.381,8204774.036,401.2841091
4041,6713796.116,5359731.905,2532.746585,4332986.545,987882.758,1584.647673,397519.2576,84339.61453,4.429812699,1300764.664,5515578.758,,3097658.552,10721052.74,1.014267361,11153434.12,1020144.794,2510.982592,1642940.704,2916859.099,27158.3432,612550.113,4853397.907,277.7160631
4044,6679214.388,6255805.721,3023.304522,3269691.42,531350.1556,1038.708425,244436.9066,40946.99121,,983085.7888,3541673.048,4.330190141,3609690.344,7988425.799,658.1256581,7703415.596,1576438.273,3410.479818,1584410.122,1518064.521,10786.20327,500562.2277,7678765.477,438.7504388
4047,6606996.098,6406790.416,1226.380317,8119702.789,2480554.613,2185.939342,815977.633,1265209.315,420.0510499,2517914.632,1533316.528,991.8612777,1984622.912,19801699.44,110.6134709,22362360.85,2864126.723,28177.59148,3696801.095,3837274.047,55479.65289,3636491.414,3127117.595,243.0328598
4050,6127475.286,8014494.466,840.2173548,5363283.998,2356220.606,434.0981178,328529.9411,84250.9893,513.9065918,1339516.8,3162755.843,1.214353635,3967830.471,11016955.55,,11542400.19,1192615.152,5979.295025,1568097.555,2339267.019,18246.25841,836670.9398,12696781.53,561.9354569
4055,12686336.06,4733263.521,5031.792952,7195248.224,802102.5114,6053.931038,890526.6536,369648.829,384.2745232,1912408.711,5425486.212,,5839597.678,21051575.94,,12342964.4,2193509.216,5262.348755,3182144.943,4303264.123,66816.83087,1326777.167,14930184.83,552.85272
4057,12535737.57,5726685.109,9448.093338,7820046.139,868599.3054,9095.152262,825694.1305,143795.1822,,1092974.376,4004704.857,,6115773.186,18315079.65,,13551587.35,1780428.045,14912.81316,3769600.291,3188320.375,32827.24842,1698814.23,11354965.65,827.044577
4065,13727741.15,6565152.539,5798.434216,7433693.595,1844071.45,5318.667391,845073.4642,222317.3696,3765.793371,2431010.064,6818978.54,,5830446.509,16215963.66,2987.824172,14345354.68,2681762.037,8694.826733,3334603.086,4723051.45,43190.50034,1283562.897,15986536.24,176.9678829
4087,6371642.482,2104451.287,2583.197517,4779714.78,4018750.986,7152.995018,280672.2228,48079.67491,,916459.1851,2469386.296,1.369983122,2972767.795,9154496.935,1768.828799,11212407.03,1144376.429,3297.400537,1797828.287,1254116.683,15322.05185,516571.2228,7773414.108,933.2060815
5010,4053746.508,5374749.392,1242.492341,6942404.08,1375855.971,16123.12717,310044.0777,45261.01862,346.9010176,1383208.795,2436787.781,356.7039038,1995540.907,5031825.133,125.2698119,8122852.281,1050497.695,1594.644265,1607785.065,3177673.752,24792.29871,602153.0738,5409710.556,45.28985507
5038,8281036.555,3644694.317,2117.35983,6411455.205,1387279.191,6148.097926,611091.9578,72005.51974,140.7657658,945219.4144,7457039.325,,4026695.157,10072365.08,1993.458884,16004745.91,1657046.359,8972.259329,2784291.229,2913433.075,21694.92997,1151293.547,11138083.17,913.9078288
5064,5393037.885,7356370.08,2963.263908,2759353.59,507499.0019,1545.827104,257438.9734,42452.16659,201.7756255,994359.1577,5852504.305,,4121232.347,14004701.71,726.1239332,9963283.789,859828.2315,1556.495614,1851386.214,2391431.374,20509.32874,716544.046,14995595.51,193.8322056
5069,7839434.232,4686592.463,5048.628287,5033923.676,640270.3957,4579.715106,496724.6493,82859.54879,895.0018477,2034343.355,2890631.685,,4757408.943,14749051.8,,10028557.63,1262999.716,8075.948037,2565138.729,3807656.433,52138.54882,844750.8779,10641861.11,365.2389323
5070,6809491.27,2595087.719,9240.075756,4056640.381,437444.037,,242307.9657,34598.0701,,910607.1865,1009807.661,,2636057.525,9730978.965,144.8622199,10843908.54,1322096.547,5678.116112,1814391.59,2855249.429,12751.0131,607907.1622,11023899.94,
5076,7813196.74,8637008.683,3714.698313,6222081.355,760194.7672,3077.268537,386912.1702,145802.3445,,2693868.853,1179885.915,609.8231196,2640934.234,12054330.88,363.5687229,8268409.893,1262020.635,4509.957971,1848241.807,2333678.449,19716.05806,780173.2999,7139832.042,93.00595238
5081,6775646.248,6323222.921,6602.896405,11412965.34,2110756.019,17470.89852,975129.9103,2840827.158,,2341759.588,2546735.194,2234.318132,2832510.175,15984438.37,210.4949463,21440669.52,2761371.088,23658.46862,3791517.546,5082998.603,117597.0454,4362542.985,3324368.805,261.0329946
5088,5423809.742,2346196.03,695.2497269,3559478.453,3784018.371,3190.285787,284349.7659,62702.87999,968.5707058,1542526.222,2988701.986,145.9371108,1975811.851,10586502.33,730.9275721,8019540.673,1015856.477,2618.129673,1555572.232,1994780.457,23838.73284,596354.6455,6216762.32,131.7832811
5527,5066330.314,6111288.562,4618.750899,6548880.857,1416000.472,11648.46053,265503.0452,54691.01417,445.8423703,966220.9804,3975210.345,233.7749324,2369218.07,8375624.548,685.4294127,9115189.096,714119.4303,5932.247041,1365862.07,2250306.43,20431.2081,843238.122,15419431.04,507.0775373
5532,5224006.101,2377781.458,1858.335341,2769353.918,659572.5813,3720.6282,291154.6674,66662.31912,919.7122105,740242.8512,3036923.377,158.3949314,2245719.769,11408415.73,6651.736605,5348994.449,968987.4613,4748.474189,1514008.021,2407967.975,11904.97982,668163.3033,6272191.141,512.3011219
5537,0,0,,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,
5549,5796313.857,6529529.653,5803.08507,3079182.158,695784.0775,16321.96567,319684.5889,68515.60824,,674146.5908,1425679.969,,2212252.95,11384227.39,4232.397034,7675530.897,693092.0872,6910.127131,1575997.356,1699768.932,18014.12049,655942.5076,9268407.322,792.6781595
5552,6690339.09,2739115.033,3854.935897,3478477.889,621795.5981,18882.27053,372143.0319,75504.1622,2354.674509,882648.0443,2032002.13,,3034826.812,16526590.42,5985.621432,14126799.77,750768.3917,10164.63563,1994416.178,1390189.327,92359.50714,722551.2771,10855926.37,
5573,5973524.807,2062538.958,1539.979864,2659065.189,339231.857,12511.61598,199628.2702,74510.99086,,700306.5125,3817520.385,,1857858.105,6964846.323,4143.637348,4929236.133,691053.8145,6585.048349,1295065.996,1159431.641,21059.94979,435949.2643,6705011.254,1315.306177
