L3_CODE,Const_emp,Edu_emp,Elec_emp,Estate_emp,Finan_emp,Hotel_emp,Manu_emp,Public_emp,Trans_emp
100409.0,0.0,2112.0,30.0,132.0,220.0,4772.0,610.0,294.0,72.0
100419.0,0.0,624.0,2.0,36.0,83.0,1888.0,505.0,302.0,68.0
100428.0,3.0,2824.0,35.0,164.0,660.0,6829.0,1441.0,1093.0,106.0
100447.0,0.0,1052.0,4.0,47.0,170.0,3150.0,650.0,189.0,58.0
100485.0,0.0,1360.0,2.0,45.0,150.0,3606.0,542.0,411.0,64.0
100602.0,0.0,1521.0,16.0,68.0,203.0,5305.0,2148.0,177.0,143.0
100603.0,0.0,2048.0,216.0,38.0,290.0,4126.0,1391.0,325.0,176.0
100607.0,0.0,3244.0,5.0,106.0,194.0,7599.0,2398.0,206.0,113.0
100610.0,14.0,1847.0,19.0,63.0,328.0,5819.0,2655.0,319.0,175.0
100632.0,18.0,3034.0,50.0,195.0,395.0,6877.0,2341.0,381.0,167.0
100636.0,0.0,851.0,4.0,33.0,157.0,3828.0,416.0,357.0,72.0
100651.0,85.0,6355.0,266.0,899.0,1716.0,32934.0,9589.0,2806.0,802.0
100662.0,0.0,2388.0,14.0,64.0,345.0,9670.0,565.0,297.0,100.0
100669.0,0.0,1385.0,8.0,45.0,149.0,4797.0,1010.0,213.0,72.0
100694.0,0.0,2258.0,0.0,86.0,442.0,6908.0,1457.0,118.0,118.0
100918.0,895.0,3340.0,83.0,470.0,434.0,13448.0,2539.0,1011.0,146.0
100921.0,0.0,2008.0,140.0,95.0,394.0,7197.0,960.0,646.0,118.0
100925.0,0.0,3444.0,41.0,146.0,532.0,10470.0,1855.0,343.0,113.0
100929.0,0.0,1297.0,10.0,197.0,195.0,6761.0,623.0,609.0,46.0
100954.0,0.0,2908.0,43.0,151.0,362.0,9641.0,1101.0,553.0,87.0
100965.0,0.0,310.0,0.0,20.0,50.0,1899.0,268.0,120.0,16.0
100991.0,19.0,976.0,3.0,42.0,205.0,3435.0,596.0,235.0,39.0
104240.0,8.0,2351.0,42.0,248.0,800.0,5985.0,1016.0,592.0,147.0
104243.0,0.0,1703.0,0.0,88.0,165.0,3685.0,805.0,168.0,48.0
104273.0,0.0,1806.0,4.0,80.0,293.0,5726.0,1540.0,182.0,75.0
104284.0,0.0,2164.0,0.0,83.0,199.0,3509.0,693.0,369.0,73.0
107838.0,0.0,3514.0,37.0,238.0,415.0,9368.0,1428.0,262.0,120.0
107852.0,0.0,1278.0,0.0,29.0,189.0,3189.0,189.0,292.0,57.0
107855.0,0.0,1175.0,0.0,27.0,111.0,1399.0,250.0,55.0,24.0
107857.0,14.0,2953.0,21.0,253.0,476.0,11808.0,1036.0,1068.0,155.0
107866.0,0.0,1858.0,0.0,389.0,164.0,7541.0,777.0,143.0,77.0
107876.0,0.0,1396.0,8.0,68.0,85.0,3466.0,597.0,99.0,55.0
107895.0,102.0,2919.0,0.0,912.0,1105.0,11582.0,4155.0,680.0,236.0
107914.0,18.0,2413.0,16.0,325.0,135.0,4647.0,718.0,228.0,161.0
107947.0,0.0,986.0,0.0,67.0,171.0,2654.0,597.0,519.0,25.0
107958.0,6.0,2738.0,7.0,101.0,422.0,6597.0,1407.0,531.0,199.0
107976.0,0.0,1883.0,3.0,122.0,254.0,3224.0,672.0,286.0,108.0
107980.0,25.0,1681.0,151.0,363.0,448.0,5041.0,1195.0,799.0,135.0
107987.0,0.0,2578.0,4.0,316.0,543.0,7917.0,2092.0,349.0,95.0
107990.0,0.0,672.0,4.0,34.0,153.0,2360.0,439.0,55.0,36.0
200304.0,1.0,217.0,0.0,11.0,25.0,1118.0,2320.0,226.0,4.0
200314.0,277.0,1542.0,0.0,180.0,355.0,4093.0,2128.0,4570.0,192.0
200351.0,0.0,650.0,5.0,21.0,136.0,2820.0,776.0,551.0,55.0
200373.0,0.0,717.0,0.0,24.0,47.0,1732.0,660.0,731.0,22.0
200389.0,14.0,175.0,0.0,3.0,14.0,596.0,145.0,176.0,5.0
200391.0,0.0,206.0,0.0,3.0,19.0,984.0,117.0,551.0,5.0
200395.0,2.0,125.0,0.0,1.0,15.0,328.0,49.0,430.0,9.0
201202.0,19.0,1400.0,73.0,139.0,269.0,7729.0,982.0,483.0,358.0
201204.0,0.0,1366.0,18.0,51.0,99.0,6837.0,4422.0,189.0,377.0
