idstd,L4_CODE,all_emp,Finan_emp,Elec_emp,Public_emp,Manu_emp,Const_emp,Hotel_emp,Estate_emp,Edu_emp,Trans_emp,register_emp,hh_elec_t,irre_emp_rate_union,Ltd_emp_rate,Foreign_emp_rate,large_asset_emp_rate,export_emp_rate,retail_emp_rate,whole_emp_rate,Finan_emp_rate,Elec_emp_rate,Public_emp_rate,Manu_emp_rate,Const_emp_rate,Hotel_emp_rate,Estate_emp_rate,Edu_emp_rate,Trans_emp_rate
531201,30265434,5415,212,81,0,118,0,3397,80,962,62,3903,0.975,0.00613155,0.183379501,0,0.138134811,0,0.638781163,0.012188366,0.039150508,0.014958449,0,0.02179132,0,0.627331487,0.014773777,0.177654663,0.011449677
531202,30262846,1405,0,30,0,212,0,871,88,102,6,1316,0.871,0.028550512,0.210676157,0,0.149466192,0.037010676,0.66975089,0.04911032,0,0.021352313,0,0.15088968,0,0.619928826,0.062633452,0.072597865,0.004270463
531203,30263860,7771,214,12,4,1383,4,3780,1280,464,34,5037,0.978,0.132798834,0.295714837,0,0.267018402,0.011066787,0.666066143,0.029983271,0.027538283,0.001544203,0.000514734,0.177969373,0.000514734,0.486423884,0.164714966,0.059709175,0.004375241
531204,30260421,32850,804,40,20,17043,135,10456,1146,1345,241,29074,0.992,0.009557761,0.513302892,0,0.542678843,0.473302892,0.375707763,0.288888889,0.024474886,0.001217656,0.000608828,0.518812785,0.004109589,0.318295282,0.034885845,0.040943683,0.007336377
531205,30262619,69084,3415,218,1904,14839,2063,26858,9881,4799,1334,62756,0.989,0.006395222,0.640987783,0.00600718,0.490142435,0.20334665,0.35388802,0.174005558,0.049432575,0.003155579,0.027560651,0.21479648,0.029862197,0.388773088,0.143028777,0.069466157,0.019309826
531206,30263016,23106,676,71,67,11359,88,6848,729,1466,54,20457,0.988,0.005483029,0.271141695,0,0.517830866,0.448498226,0.365792435,0.31935428,0.02925647,0.003072795,0.00289968,0.491603912,0.003808535,0.296373236,0.031550247,0.063446724,0.002337055
531207,30268040,30301,365,19,9067,4082,331,4323,2376,8616,50,13630,0.994,0.003510515,0.251410845,0,0.229530379,0.117718887,0.162502888,0.123824296,0.012045807,0.000627042,0.299231048,0.134715026,0.010923732,0.142668559,0.078413254,0.284347051,0.001650111
531208,30268041,20760,5051,26,6543,709,1470,3992,556,1861,12,4128,0.967,0.000578369,0.059537572,0,0.053660886,0.025433526,0.193593449,0.072687861,0.243304432,0.001252408,0.31517341,0.034152216,0.070809249,0.192292871,0.026782274,0.089643545,0.000578035
531209,30262846,1405,0,30,0,212,0,871,88,102,6,1316,0.871,0.028550512,0.210676157,0,0.149466192,0.037010676,0.66975089,0.04911032,0,0.021352313,0,0.15088968,0,0.619928826,0.062633452,0.072597865,0.004270463
531210,30263351,11733,475,84,168,1415,229,2672,2099,3742,121,11177,0.997,0.031019332,0.601465951,0,0.542998381,0.09477542,0.208471832,0.097332311,0.040484105,0.007159294,0.014318589,0.120600017,0.0195176,0.227733742,0.178897128,0.318929515,0.010312793
531211,30262618,25856,376,86,232,1024,293,16603,2761,1514,249,23297,0.993,0.004779855,0.697014233,0.005066522,0.163405012,0.011370668,0.588335396,0.044167698,0.014542079,0.003326114,0.008972772,0.03960396,0.011331993,0.642133354,0.106783725,0.058555074,0.00963026
531212,30266828,4625,71,14,0,1385,6,1848,170,563,5,3815,0.99,0.010487219,0.284972973,0,0.244540541,0.184648649,0.450378378,0.208648649,0.015351351,0.003027027,0,0.299459459,0.001297297,0.399567568,0.036756757,0.12172973,0.001081081
531213,30269039,42305,2404,450,741,5900,118,20509,5007,5384,262,35803,0.984,0.005490327,0.354331639,0.000425482,0.281408817,0.114927314,0.426403498,0.09989363,0.056825434,0.010637041,0.01751566,0.13946342,0.002789268,0.484789032,0.118354804,0.127266281,0.006193121
531214,30269237,56771,621,334,1446,32505,84,10984,4361,1421,2798,46448,0.982,0.001110954,0.641260503,0.000704585,0.661411636,0.408571278,0.165348505,0.482570326,0.010938683,0.005883285,0.025470751,0.572563457,0.001479629,0.193479065,0.076817389,0.025030385,0.049285727
531215,30262618,25856,376,86,232,1024,293,16603,2761,1514,249,23297,0.993,0.004779855,0.697014233,0.005066522,0.163405012,0.011370668,0.588335396,0.044167698,0.014542079,0.003326114,0.008972772,0.03960396,0.011331993,0.642133354,0.106783725,0.058555074,0.00963026
531216,30263014,20136,791,51,0,8056,283,7617,1123,899,76,17286,0.994,0.010894121,0.366706397,0,0.450486691,0.357717521,0.420788637,0.317838697,0.039282876,0.002532777,0,0.40007946,0.01405443,0.378277712,0.055770759,0.044646404,0.003774335
531217,30260568,7472,32,5,6,996,0,4658,166,564,315,4596,0.996,0.000133851,0.132494647,0,0.071332976,0.009635974,0.470155246,0.231798715,0.004282655,0.000669165,0.000802998,0.133297645,0,0.623394004,0.022216274,0.075481799,0.042157388
531218,30264811,13679,270,11,600,3213,41,5373,420,1446,876,10132,0.99,0.012134665,0.281234008,0,0.247678924,0.166167117,0.478251334,0.171065136,0.019738285,0.000804152,0.043862855,0.234885591,0.002997295,0.392791871,0.030703999,0.105709482,0.064039769
531219,30268040,30301,365,19,9067,4082,331,4323,2376,8616,50,13630,0.994,0.003510515,0.251410845,0,0.229530379,0.117718887,0.162502888,0.123824296,0.012045807,0.000627042,0.299231048,0.134715026,0.010923732,0.142668559,0.078413254,0.284347051,0.001650111
531220,30263626,11613,47,10,93,2385,49,6347,487,868,27,7891,0.986,0.014324395,0.199001119,0,0.180917937,0.110651856,0.493670886,0.084904848,0.004047188,0.000861104,0.008008267,0.205373289,0.004219409,0.546542668,0.041935762,0.074743822,0.002324981
531221,30266722,24570,769,31,185,11515,491,6173,1258,2427,59,21692,0.991,0.008330939,0.453520554,0,0.535897436,0.440537241,0.291452991,0.194383394,0.031298331,0.001261701,0.007529508,0.468660969,0.01998372,0.251241351,0.051200651,0.098778999,0.002401302
531222,30262984,12314,162,3,28,2278,6,6908,132,490,1477,10611,0.991,0.002115885,0.190839695,0,0.126522657,0.047100861,0.709273997,0.14893617,0.013155758,0.000243625,0.002273835,0.184992691,0.00048725,0.560987494,0.010719506,0.039792107,0.119944778
531223,30269237,56771,621,334,1446,32505,84,10984,4361,1421,2798,46448,0.982,0.001110954,0.641260503,0.000704585,0.661411636,0.408571278,0.165348505,0.482570326,0.010938683,0.005883285,0.025470751,0.572563457,0.001479629,0.193479065,0.076817389,0.025030385,0.049285727
531224,30264811,13679,270,11,600,3213,41,5373,420,1446,876,10132,0.99,0.012134665,0.281234008,0,0.247678924,0.166167117,0.478251334,0.171065136,0.019738285,0.000804152,0.043862855,0.234885591,0.002997295,0.392791871,0.030703999,0.105709482,0.064039769
531225,30263894,14150,228,0,71,2161,19,9515,318,550,99,7866,0.992,0.004543518,0.263109541,0,0.065724382,0.01180212,0.753074205,0.142473498,0.016113074,0,0.005017668,0.152720848,0.001342756,0.672438163,0.022473498,0.038869258,0.006996466
531226,30269237,56771,621,334,1446,32505,84,10984,4361,1421,2798,46448,0.982,0.001110954,0.641260503,0.000704585,0.661411636,0.408571278,0.165348505,0.482570326,0.010938683,0.005883285,0.025470751,0.572563457,0.001479629,0.193479065,0.076817389,0.025030385,0.049285727
531227,30262619,69084,3415,218,1904,14839,2063,26858,9881,4799,1334,62756,0.989,0.006395222,0.640987783,0.00600718,0.490142435,0.20334665,0.35388802,0.174005558,0.049432575,0.003155579,0.027560651,0.21479648,0.029862197,0.388773088,0.143028777,0.069466157,0.019309826
531228,30267557,8578,201,41,110,243,85,5351,1311,553,58,7090,0.99,0.012392305,0.258801585,0,0.120424341,0,0.574842621,0.027628818,0.023432035,0.004779669,0.012823502,0.028328282,0.00990907,0.623805083,0.152832828,0.064467242,0.006761483
531229,30260963,11405,79,16,34,465,0,8396,351,358,444,10641,1,0.004049652,0.73853573,0,0.041385357,0.013765892,0.687154757,0.117229285,0.006926786,0.001402893,0.002981149,0.040771591,0,0.736168347,0.030775975,0.031389741,0.038930294
531230,30261109,12955,188,71,110,2436,112,7367,205,653,780,10126,0.993,0.005666822,0.22809726,0,0.186182941,0.10420687,0.600617522,0.078348128,0.014511772,0.005480509,0.00849093,0.188035508,0.008645311,0.568660749,0.015824006,0.050405249,0.060208414
531231,30264261,6362,43,6,2,1725,0,2694,224,301,57,5724,0.997,0.00331178,0.698522477,0,0.160955674,0.101540396,0.439484439,0.186104998,0.006758881,0.0009431,0.000314367,0.271141151,0,0.423451745,0.035209054,0.047312166,0.008959447
531232,30264291,19298,182,95,0,8207,0,7668,336,689,64,14438,0.996,0.008676563,0.50896466,0,0.332625143,0.205150793,0.450461188,0.210747228,0.009431029,0.00492279,0,0.425277231,0,0.397346875,0.017411131,0.035703182,0.003316406
531233,30265432,86427,31901,1656,838,17992,613,15876,13126,1204,1789,65329,0.992,0.014353786,0.557059715,0.005287699,0.409617365,0.13255117,0.205965728,0.228435558,0.36910919,0.019160679,0.009696044,0.208175686,0.007092691,0.183692596,0.151873836,0.013930832,0.02069955
531234,30266827,8656,252,144,82,1584,34,3714,396,1223,89,6796,0.992,0.00173591,0.304066543,0,0.146603512,0.086529575,0.564232902,0.09969963,0.029112754,0.01663586,0.009473198,0.182994455,0.003927911,0.429066543,0.045748614,0.141289279,0.010281885
531235,30260568,7472,32,5,6,996,0,4658,166,564,315,4596,0.996,0.000133851,0.132494647,0,0.071332976,0.009635974,0.470155246,0.231798715,0.004282655,0.000669165,0.000802998,0.133297645,0,0.623394004,0.022216274,0.075481799,0.042157388
531236,30269501,54767,1896,53,3274,16012,552,18992,3266,7981,300,45731,0.928,0.01014442,0.492102909,0,0.453247394,0.270728724,0.493234977,0.134058831,0.034619388,0.000967736,0.059780525,0.292365841,0.010079062,0.346778169,0.059634451,0.145726441,0.005477751
531237,30266860,2531,52,5,0,315,17,1562,61,145,0,2321,0.982,0.005162828,0.34729356,0,0.113789016,0.016594232,0.81035164,0.093243777,0.020545239,0.001975504,0,0.124456736,0.006716713,0.617147373,0.024101146,0.057289609,0
531238,30266352,69084,1295,10,131,6562,240,50905,3207,1560,189,64705,0.997,0.001812671,0.675047768,0,0.106884373,0.062995773,0.719645649,0.103757744,0.018745296,0.000144751,0.001896242,0.094985814,0.003474032,0.73685658,0.046421747,0.022581205,0.0027358
531239,30269039,42305,2404,450,741,5900,118,20509,5007,5384,262,35803,0.984,0.005490327,0.354331639,0.000425482,0.281408817,0.114927314,0.426403498,0.09989363,0.056825434,0.010637041,0.01751566,0.13946342,0.002789268,0.484789032,0.118354804,0.127266281,0.006193121
531240,30261109,12955,188,71,110,2436,112,7367,205,653,780,10126,0.993,0.005666822,0.22809726,0,0.186182941,0.10420687,0.600617522,0.078348128,0.014511772,0.005480509,0.00849093,0.188035508,0.008645311,0.568660749,0.015824006,0.050405249,0.060208414
531241,30262986,12912,472,6,113,2734,9,7698,233,698,44,10893,0.998,0.003419335,0.111136927,0,0.199349442,0.14505886,0.495430607,0.242797398,0.036555143,0.000464684,0.008751549,0.211741016,0.000697026,0.596189591,0.018045229,0.05405824,0.003407683
531242,30260413,29470,382,106,46,12702,100,10296,519,1312,104,23670,0.984,0.011220533,0.43824228,0.001798439,0.325144214,0.208211741,0.433457754,0.248693587,0.012962335,0.003596878,0.001560909,0.431014591,0.003393281,0.349372243,0.01761113,0.044519851,0.003529013
531243,30260570,56806,464,6,51,26439,13,28090,274,167,164,52494,0.996,0.004207326,0.513308453,0,0.415977186,0.239886632,0.18059712,0.686881667,0.008168151,0.000105623,0.000897792,0.465426187,0.000228849,0.494490019,0.004823434,0.00293983,0.002887019
531244,30268040,30301,365,19,9067,4082,331,4323,2376,8616,50,13630,0.994,0.003510515,0.251410845,0,0.229530379,0.117718887,0.162502888,0.123824296,0.012045807,0.000627042,0.299231048,0.134715026,0.010923732,0.142668559,0.078413254,0.284347051,0.001650111
