L3_CODE,Const_emp,Edu_emp,Elec_emp,Estate_emp,Finan_emp,Hotel_emp,Manu_emp,Public_emp,Trans_emp,all_company,all_emp,edu_lit_15_num,edu_ter_15_num,hou_own,nbi_per_capita,econ_active_pop_rate,Female_emp_rate,irre_emp_rate,nbi_company_rate,all_pop,urban_pop,urbanization_rate
100409,0,8480,207,1211,5654,28489,5770,3488,1161,21790,62146,93644.86774,3241.977227,0.927296296,53.56616114,0.630191186,0.104013075,0.011985019,0.003992657,269000.0,21800.0,0.08104089219330855
100419,0,967,43,45,323,2222,1697,349,35,2791,7036,33450.80708,1175.375538,0.97325,69.54744167,0.615430825,0.137407048,0.045312732,0.008599068,77200.0,7600.000000000001,0.0984455958549223
100428,46,4036,129,371,1693,7660,2390,1034,140,8254,19843,104310.1535,5096.22266,0.776473684,104.5023761,0.600875578,0.112026451,0.006237323,0.004724982,263000.0,32700.000000000004,0.12433460076045628
100447,0,1871,3,116,406,4361,1596,362,122,4432,11123,45963.25372,1849.342543,0.8581875,21.21197838,0.585747373,0.101069095,0.01413202,0.002933213,118000.0,12700.000000000002,0.1076271186440678
100485,0,1953,108,160,601,5329,1645,410,94,5637,12203,69867.28883,1597.31606,0.8215625,208.9650645,0.616552565,0.091502683,0.010433055,0.005854178,163000.0,28100.0,0.17239263803680982
100602,0,2346,15,320,507,7897,2273,385,88,4824,15818,62742.6529,2589.174469,0.968,152.4296901,0.587282218,0.089243906,0.008865361,0.006633499,148000.0,9900.0,0.06689189189189189
100603,0,2359,325,248,436,8788,4126,327,192,4931,18660,63616.06637,2027.772048,0.944166667,126.2733781,0.582748431,0.086715975,0.045612462,0.008517542,139000.0,9400.0,0.06762589928057554
100607,4,4671,136,519,1158,14988,5347,362,218,9048,31579,126493.9495,4534.665434,0.889304348,160.5874243,0.572001336,0.098667502,0.041798628,0.021220159,312000.0,20100.0,0.06442307692307692
100610,2,2560,68,202,458,8623,4369,350,61,5730,18645,68730.46658,2699.183325,0.814647059,47.66281481,0.596961693,0.063605248,0.025351958,0.004188482,149000.0,16100.000000000002,0.1080536912751678
100632,0,2518,40,415,928,12423,2067,628,323,6298,22177,75714.24563,3414.462323,0.881625,55.49539523,0.596205024,0.066971374,0.009881603,0.009844395,189000.0,40900.00000000001,0.21640211640211643
100636,0,1190,17,94,245,5191,1691,193,32,3121,10186,35742.37833,898.027435,0.973,317.1322722,0.520018226,0.071646502,0.018192723,0.006087792,146000.0,13900.0,0.09520547945205479
100651,482,12561,764,2819,4314,53366,13917,5651,1131,25416,105623,254772.3718,27073.39172,0.5724,251.636101,0.633648211,0.105282434,0.008151266,0.016013535,516000.0,331000.0,0.6414728682170543
100662,0,2785,41,148,418,13352,2550,344,80,8667,22768,92484.50962,2407.693995,0.922772727,40.74752171,0.543483665,0.059814737,0.00383581,0.002192223,301000.0,32800.00000000001,0.10897009966777411
100669,3,2493,111,350,453,13446,2087,351,89,5068,22866,59158.46675,2074.502522,0.897625,63.65782698,0.538198809,0.064326941,0.020803571,0.006511444,176000.0,19900.000000000004,0.11306818181818185
100694,0,3177,67,665,865,15226,3220,368,362,7549,27028,97989.98928,3815.746019,0.966222222,144.7862804,0.588842189,0.07505668,0.022393706,0.014836402,233000.0,12000.0,0.05150214592274678
100918,2,5696,120,687,1202,30624,5411,1529,477,13975,50255,118516.3252,6465.307953,0.837818182,226.0051089,0.546279931,0.063440337,0.00899472,0.00980322,431000.0,87900.0,0.20394431554524362
100921,0,2798,41,309,549,11623,3776,418,111,6848,21653,67978.93617,2534.833447,0.890833333,162.3460979,0.552837173,0.064290981,0.01609573,0.024094626,234000.0,39000.0,0.16666666666666666
100925,22,6102,148,491,762,36063,5546,589,620,16430,55030,117917.9732,4548.549484,0.884964286,264.5088216,0.534121197,0.045959097,0.009910075,0.005538649,455000.0,43800.00000000001,0.09626373626373629
100929,0,1986,39,188,362,10468,2670,481,59,5192,17708,44083.17217,1685.361195,0.927555556,52.42824412,0.551032194,0.045583373,0.00710914,0.034476117,171000.0,17300.0,0.10116959064327485
100954,0,4227,110,404,499,17807,2814,375,227,8595,29998,68828.30874,2931.895187,0.916055556,177.1130315,0.551533587,0.059550721,0.007320349,0.010471204,285000.0,35900.0,0.12596491228070175
100965,0,1066,3,39,74,4431,549,253,13,2039,7161,16008.77667,513.9566305,0.92925,167.2764228,0.538528068,0.03363164,0.000698714,0.004413928,76800.00000000001,840.0,0.010937499999999998
