ID_01_CODE,ID_02_CODE,MEMBER_Total,Urban_MEMBER,urbanization,L2_CODE
10,4,737,345,0.468113976,1004
10,6,2646,1463,0.552910053,1006
10,9,1574,491,0.311944091,1009
10,42,603,252,0.417910448,1042
10,78,1345,438,0.325650558,1078
10,79,975,403,0.413333333,1079
20,3,89,0,0,2003
20,12,666,192,0.288288288,2012
20,13,918,373,0.406318083,2013
20,15,2831,1906,0.673260332,2015
20,19,1325,488,0.368301887,2019
20,22,601,83,0.138103161,2022
20,30,361,175,0.484764543,2030
20,46,190,88,0.463157895,2046
20,51,420,90,0.214285714,2051
20,75,729,201,0.275720165,2075
20,84,187,90,0.481283422,2084
30,26,2926,2310,0.789473684,3026
30,29,340,83,0.244117647,3029
30,33,879,593,0.674630262,3033
30,35,163,0,0,3035
30,48,442,85,0.192307692,3048
30,54,241,74,0.307053942,3054
30,56,230,0,0,3056
30,59,152,0,0,3059
30,67,590,254,0.430508475,3067
30,68,365,89,0.243835616,3068
30,82,159,0,0,3082
30,86,258,75,0.290697674,3086
30,93,521,74,0.142034549,3093
40,1,606,87,0.143564356,4001
40,18,445,139,0.312359551,4018
40,41,1286,577,0.448678072,4041
40,44,814,411,0.504914005,4044
40,47,1561,884,0.566303652,4047
40,50,919,413,0.449401523,4050
40,55,323,82,0.253869969,4055
40,57,220,78,0.354545455,4057
40,65,263,85,0.323193916,4065
40,87,822,163,0.198296837,4087
45,39,1528,717,0.469240838,4539
45,61,4017,1875,0.466766243,4561
45,72,1349,406,0.300963677,4572
45,89,977,452,0.462640737,4589
50,10,1380,724,0.524637681,5010
50,38,370,153,0.413513514,5038
50,64,885,226,0.255367232,5064
50,69,492,217,0.441056911,5069
50,70,706,360,0.509915014,5070
50,76,960,466,0.485416667,5076
50,81,1306,883,0.67611026,5081
50,88,1168,446,0.381849315,5088
55,27,1493,839,0.561955794,5527
55,32,947,248,0.26187962,5532
55,49,950,335,0.352631579,5549
55,52,504,82,0.162698413,5552
55,73,853,358,0.419695193,5573
55,77,411,70,0.170316302,5577
55,85,1670,1030,0.616766467,5585
55,94,546,234,0.428571429,5594
60,36,1927,572,0.296834458,6036
60,58,1546,421,0.272315653,6058
60,90,2068,464,0.224371373,6090
60,91,3632,1827,0.503028634,6091
