idstd,NTL_value_2021,FY2017_SPC_NTL,increase_NTL
862417,47,38.672466,0.049963007
862418,35,19.97211,0.150564642
862419,49,39.285858,0.056793077
862420,49,46.024423,0.015785319
862421,41,19.97211,0.196988497
862422,59,52.652205,0.02886611
862423,44,30.210512,0.098559661
862424,42,30.572438,0.082629369
862425,52,42.900261,0.049266609
862427,10,9.201347,0.021026814
862428,61,58.759246,0.009400244
862429,25,11.762903,0.207414462
862430,60,43.584236,0.083192023
862431,17,15.38869,0.025207601
862432,49,40.895278,0.046238576
862433,57,54.949711,0.009200276
862434,31,20.05454,0.115031784
862435,42,32.491129,0.066279653
862436,25,20.05454,0.056651627
862437,52,46,0.031125146
862438,17,15.38869,0.025207601
862439,61,59.1919,0.007550652
862440,40,36.066888,0.026213752
862441,57,51.596683,0.025211026
862442,62,59.666467,0.009637195
862443,62,60.950029,0.004279143
862444,62,61.849242,0.000608821
862445,36,32.822635,0.023369017
862446,61,58.582154,0.010162227
862447,42,25.621017,0.131522597
862448,57,29.842865,0.175597315
862449,60,57.264515,0.011734165
862450,60,54.726541,0.023265455
862451,50,54.299987,-0.020414
862452,46,40.895278,0.029843345
862453,14,9.843412,0.09205772
862454,10,8.068703,0.055113227
862455,14,11.871532,0.042090213
862456,54,53.95882,0.000190739
862457,13,8.931533,0.09838435
862458,16,11.871532,0.077465328
862459,47,18.365628,0.264803383
862460,15,12.067089,0.055898531
862461,58,41.98582,0.08412994
862462,60,56.492318,0.015173947
862463,60,57.540255,0.010519892
862464,13,10.719492,0.049402965
862465,54,29.842865,0.159813905
862466,63,60.776513,0.009023295
862467,51,42.286274,0.047955133
862468,59,54.726541,0.018974939
862469,16,12.549585,0.062606956
862470,55,50.664598,0.020738562
862471,13,9.843412,0.072011446
862472,11,12.209803,-0.025748671
862473,58,42.286274,0.082199038
862474,55,50.811593,0.019999525
862475,58,44.785525,0.06677439
862476,12,9.85511,0.050461022
862477,21,9.40325,0.222461887
862478,40,25.968378,0.114047714
862479,60,58.167673,0.00778384
862480,13,8.369531,0.11637617
862481,61,58.110224,0.012206965
862482,57,49.403325,0.036405405
862483,53,43.170362,0.052622248
862484,60,50.811593,0.0424305
862485,58,42.286274,0.082199038
862486,60,47.882784,0.058017776
862487,53,43.170362,0.052622248
862488,57,51.894198,0.023738445
862489,45,42.549442,0.014097381
862490,61,57.216394,0.01613717
862491,62,58.556027,0.014390146
862492,12,9.708487,0.054404919
862493,60,57.692462,0.009852731
862494,42,21.918868,0.176542967
862495,62,59.82603,0.008963316
862496,61,59.500002,0.006243791
862497,10,8.535907,0.040369427
862498,59,50.664598,0.038811748
862499,56,53.95882,0.009325849
862500,43,21.918868,0.183484525
862501,61,58.582154,0.010162227
862502,62,61.098273,0.003669412
862503,62,59.950853,0.008437717
862504,60,58.759246,0.00523768
862505,55,50.809676,0.020009146
862507,58,51.596683,0.029678282
862508,61,57.917128,0.013049588
862509,52,44.455987,0.039963918
862510,12,8.535213,0.088909334
862511,61,57.917128,0.013049588
862512,60,58.110224,0.008032827
862513,62,62,0
862514,62,61.035105,0.003928997
862515,41,19.97211,0.196988497
862516,59,42.286274,0.086833829
862518,61,56.698532,0.018449514
862519,60,58.167673,0.00778384
862521,61,59.1919,0.007550652
862522,20,13.780901,0.097584829
862523,63,62,0.004008096
862524,30,15.38869,0.181625626
862525,51,45.900047,0.026689833
862526,35,27.730289,0.059932996
862527,59,47.882784,0.053581545
862528,12,9.188101,0.069027485
862529,46,15.581071,0.310811163
862530,53,40.14375,0.071925204
862531,57,54.874032,0.009548054
862532,14,8.933228,0.118870708
862533,52,46,0.031125146
862534,34,20.05454,0.141081208
862535,12,12.271439,-0.005576364
862536,15,12.271439,0.051474976
862537,32,19.97211,0.125075085
862538,47,42.260604,0.026929287
862539,9,,
862540,25,11.762903,0.207414462
862541,11,9.275074,0.043563367
862542,51,36.066888,0.090474153
862543,58,42.286274,0.082199038
862544,61,58.110224,0.012206965
862545,41,32.240099,0.061932402
862546,39,33.259327,0.040609503
862547,15,9.40325,0.123836982
862548,53,49.672271,0.016343381
862549,57,50.266966,0.03192479
862550,51,40.14375,0.061666367
862551,60,56.879748,0.013440828
862552,8,7.815197,0.005859945
862553,61,58.363258,0.011108071
862554,62,61.099924,0.003662632
862555,29,12.578736,0.232225662
862556,62,62,0
862557,29,12.578736,0.232225662
862558,42,33.773598,0.056009901
862559,62,60.776513,0.004995177
862560,47,32.497187,0.096637322
862561,45,36.066888,0.056880684
862562,62,61.913118,0.000350638
862563,33,29.993265,0.024171176
862564,38,15.38869,0.253561041
