,idstd,id,a4a,a6a,a2,a4b_v4,a4b,a0,a3a,a6c,a6b,a14d,a14m,a14y,a14h,a14min,ic1,a1,a1a,a1c,a7,a7a,a7b,a11,a7c,a9,a20y,a20m,a20d,b1,b1x,b3,b3a,b2a,b2b,b2c,b2d,BGDb2a,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,BGDc18,BGDc19,BGDc20,c22b,BMGc7,BMGc8,BMGc18,BMGc23k,BMGc23l,BMGc23m,c30a,d1a1a,d1a1x,d1a6a,d1a6b,d1a6c,d1a3,d2,d2x,d20,d2a1,d2a1x,n3,d3a,d3b,d3c,d4,d5a,BGDd31,d8,d10,d11,d12a,d12b,d13,d14,d15a,BGDd16,BGDd17,BGDd18,BGDd19,BGDd20,BGDd21,BGDd22,BGDd23,BGDd24,BGDd25,BGDd26,BGDd27a,BGDd27b,BGDd27c,BGDd27d,BGDd27e,BGDd27f,d30a,d30b,BGDd30c,BGDd30d,BGDj30,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e6,e11,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,f2,COVb1a,COVb1b,g6a,g1a,g2,g3,g4,BGDg5,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,COVk15,k15d,k16,k17,k20a1,k21,BGDk1a,BGDk1b,BGDk1c,BGDk3a,BGDk3b,BGDk3c,BGDk3d,BGDk3e,k30,h7a,BGDj1a,j2,j3,j4,j5,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,BGDj12,BGDj16,j16,BGDj21a,BGDj21b,BGDj21c,j30a,j30b,j30c,j30e,j30f,h30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,BGDj31,BGDj32,l1,COVl2,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,BGDl14,BGDl15,BGDl16,BGDl17,BGDl18,BGDl19,SARl21,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2e,n2b,n2a1,n2i,n2e1,n7a,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
0,862417,10,Food,Large,Khulna,Food,15,Manufacturing,Khulna,156,Large,2,7,2022,15,31,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Partnership,,50,Yes,100,0,0,0,No,No,,2016,140,2016,40,No,Yes,HACCP,No,,,Yes,50,1,0,2,,No,,No,,,No,,,No,,,No,No,,No,Yes,Yes,Yes,No obstacle,Manufacturing of ,Processing and preserving of fish,,,,100,1000000000,One billion,0,1100000000,One billion one hundred million,1200000000,0,100,0,,,,2016,0,0,100,0,,,,Shrimp,,,20,,Yes,6,No,35,Yes,No,Moderately,Very much,Extremely,Not at all,Not at all,Not at all,No obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,10 or more production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Targets were not achieved,Only senior managers,Yes,The establishmentâ?s performance ,Promotions were based solely on performance and ability,Rarely or never,International,20,No,No,No obstacle,No,,,,No,,,No,,75,168,No,,100,100,No,,,No,,,,No obstacle,Yes,2,,No,,,No obstacle,20,80,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,Yes,State-owned banks or government agency,2019,30000000,Yes,Yes,No,No,No,No,-9,1,-9,-9,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cash,Cash,Cash,Cash,No obstacle,Strongly agree,Strongly agree,2,Yes,1,No,No,,0,,No,,,No,,,No,No,No,Strongly agree,Tend to agree,Strongly agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,5,4,6,3,2,Too many documents or too frequent filing,Increased ease of paying taxes,156,150,150,80,76,80,0,0,0,50,,100,40,1,10,,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Inadequately educated workforce,9,11,13,7,1,2,10,8,6,15,14,4,3,12,5,17600000,750000000,18000000,18200000,,850000000,200000000,2,7,2022,16,5,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,1512,1020,Khulna,Large (100 or more),Food,Panel,1.4472992,2.3771355,2.1087928,176
1,862418,11,Food,Large,Khulna,Food,15,Manufacturing,Khulna,118,Large,1,4,2022,12,22,1,Bangladesh,Bengali,Firm,No,,,,,,2021,6,30,Shareholding company with non-traded shares or shares traded privately,,-9,Yes,100,0,0,0,No,Yes,-9,2003,60,2003,55,No,Yes,HACCP & BRC,No,,,No,,,,,,No,,No,,,No,,,No,,,Yes,No,,No,No,Yes,Yes,No obstacle,Manufacturing of ,Processing of Lobster fish for export,,,,100,710000000,Seven hundred and ten million,0,590000000,Five hundred ninety million,620000000,0,30,70,2,No,Pre-shipment controls,2003,0,0,100,0,,,,Lobster,,,20,,No,15,No,65,Yes,Yes,Extremely,Extremely,Extremely,Not at all,Not at all,Extremely,No obstacle,No obstacle,No obstacle,Very severe obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Targets were not achieved,All managers and most production workers,Yes,Their own performance,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Rarely or never,International,-4,Yes,No,No obstacle,No,,,,No,,,Yes,1000000,80,78,No,,100,100,No,,,No,,,,No obstacle,Yes,,1000000,No,,,No obstacle,30,70,0,0,0,Yes,11000000,0,100,,0,,0,,0,,0,,0,,No,,,Yes,No,Yes,State-owned banks or government agency,2021,290000000,Yes,Yes,No,No,No,No,780000000,3,-8,270000000,-9,Yes,,Application was approved in full,Yes,No,Yes,Yes,Cash,Cash,Cash,Cash,Cash,No obstacle,Strongly agree,-9,3,Yes,1,No,No,,0,,No,,,No,,,No,Yes,Yes,Strongly agree,Tend to agree,Tend to agree,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,6,3,2,4,5,The appeal process is too difficult,Increased ease of paying taxes,112,90,112,104,14,50,30,24,80,5,,76,70,1,80,,Yes,90,,5,,70,,Yes,"Personal development training such as working in a team, time-use, leadership, handling stress",University trainers,Yes,"Personal development training such as working in a team, time-use, leadership, handling stress",University trainers,Yes,No obstacle,No obstacle,Business licensing and permits,12,10,6,5,13,9,1,8,3,14,7,11,2,15,4,100000000,400000000,15000000,35000000,,450000000,350000000,1,4,2022,13,58,Somewhat truthful,Are in some case taken from books and in some case estimates,Several visits,2,40,2,No,No,City with population over 1 million,1512,1020,Khulna,Large (100 or more),Food,Panel,1.4472992,2.3771355,2.1087928,176
2,862419,18,Food,Large,Khulna,Food,15,Manufacturing,Khulna,130,Large,18,7,2022,14,34,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1997,120,1997,35,No,Yes,HACCP,No,,,Yes,100,0,30,10,,No,,No,,,No,,,No,,,Yes,No,,No,Yes,Yes,Yes,Major obstacle,Manufacturing of ,Processing and preserving of fish,,,,80,700000000,Seven hundred million,0,650000000,Six hundred fifty million,960000000,0,0,100,5,No,"Export licensing, quota or prohibitions",1997,0,0,100,0,,,,Shrimp,,,5,,Yes,25,No,60,Yes,No,Very much,Very much,Very much,Not at all,Not at all,Not at all,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,10 or more production performance indicators,No,,,,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,International,10,No,No,No obstacle,No,,,,No,,,No,,35,168,Yes,24,100,100,No,,,No,,,,No obstacle,Yes,3,,No,,,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No,No,Cash,Cash,Cash,Cash,Cash,No obstacle,Strongly agree,Strongly agree,3,Yes,2,No,No,,0,,No,,,No,,,No,No,No,Strongly agree,Strongly agree,Strongly agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,6,4,1,3,2,0,Better local services provided by the government,125,125,125,95,30,75,15,5,45,0,,0,,,10,,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Inadequately educated workforce,6,11,2,7,3,13,1,10,14,12,4,15,9,5,8,18000000,500000000,10000000,18000000,,480000000,500000000,18,7,2022,15,9,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,1512,1020,Khulna,Large (100 or more),Food,Panel,1.4472992,2.3771355,2.1087928,176
3,862420,19,Food,Large,Chattogram,Food,15,Manufacturing,Chattogram,200,Large,3,7,2022,15,7,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Sole proprietorship,,100,No,100,0,0,0,No,No,,1978,50,1995,10,No,Yes,ISO9001,No,,,Yes,90,1,0,7,,No,,No,,,No,,,Yes,5,Less than one hour,Yes,No,,No,No,No,No,Moderate obstacle,Manufacturing of ,Processing and preserving of fish,,,,100,126000000,One hundred twenty-six million,0,130000000,One hundred thirty million,150000000,0,0,100,15,No,High or discriminatory taxes or charges,-9,0,0,100,0,,,,Sea fish,,,-9,Yes,-9,0,-9,0,-9,-9,-9,-9,Moderately,Moderately,Slightly,Not at all,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,-7,Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,Most managers and some production workers,No,,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",-7,International,-4,Yes,No,No obstacle,No,,,,No,,,No,,85,84,Yes,15,100,100,No,,,No,,,,Moderate obstacle,Yes,-9,,No,,,No obstacle,-9,-9,-9,-9,-9,-9,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,-9,-9,,,-9,No,Yes,Yes,Cash,Cash,Cash,-9,Cash,No obstacle,Strongly agree,-9,20,Yes,4,No,No,,0,,No,,,No,,,No,No,No,Tend to agree,-9,Strongly agree,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,4,2,5,6,1,-9,-9,200,200,200,150,50,120,30,0,40,5,,0,,,80,,No,,,,,,,,,,,,,No,No obstacle,Major obstacle,Access to finance,13,6,15,9,11,7,8,3,2,10,1,4,14,5,12,24000000,64500000,3000000,24000000,,73200000,450000000,3,7,2022,16,4,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with different managers/staff,1,0,3,No,No,City with population over 1 million,1512,1020,Chittagong,Large (100 or more),Food,Panel,1.2298515,2.626549,3.4405255,97
4,862421,21,Food,Large,Khulna,Food,15,Manufacturing,Khulna,75,Medium,27,3,2022,16,1,1,Bangladesh,Bengali,Establishment,Yes,2,No,,,Yes,2021,6,30,Shareholding company with non-traded shares or shares traded privately,,50,Yes,100,0,0,0,No,Yes,20,2010,-9,2010,11,No,Yes,ISO 9001,No,,,Yes,50,0,30,30,,No,,No,,,No,,,Yes,5,Less than one hour,Yes,No,,No,No,Yes,Yes,Major obstacle,Manufacturing of ,Processing of Lobster fish for export,,,,100,400000000,Four hundred million,0,200000000,Two hundred million,600000000,0,0,100,1,Yes,Customs procedures,-9,-7,,100,0,,,,Lobster,,,25,,No,9,Yes,10,Yes,Yes,Slightly,Slightly,Extremely,Not at all,Not at all,Slightly,Moderate obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Targets were not achieved,Only senior managers,No,,Non-managers are normally not promoted,Rarely or never,International,-4,Yes,-9,-9,No,,,,No,,,Yes,10000000,50,100,Yes,5,100,100,No,,,No,,,,No obstacle,Yes,,1000000,No,,,No obstacle,60,40,0,0,0,No,,,,,,,,,,,,,,,Yes,10000000,0,Yes,No,Yes,Private commercial banks,2021,-8,Yes,Yes,Yes,No,Yes,No,200000000,-9,,-8,Yes,Yes,,Application was approved in part,Yes,No,No,Yes,Cash,Cash,Cash,Cash,Cash,Major obstacle,Strongly agree,Tend to disagree,3,Yes,1,Yes,No,,-8,,No,,,No,,,No,No,Yes,Strongly agree,Tend to agree,Tend to agree,Moderate obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Very severe obstacle,Minor obstacle,5,1,2,4,3,6,Tax officials are corrupt,0,75,75,110,55,20,5,50,0,25,0,,30,15,4,70,,Yes,,45,,0,100,,No,,,No,,,Yes,Moderate obstacle,Very severe obstacle,Corruption,11,5,9,3,15,4,8,1,14,6,13,10,2,12,7,18800000,300000000,360000,8000000,,150000000,-9,27,3,2022,17,22,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,1512,1020,Khulna,Large (100 or more),Food,Panel,2.59911,4.016929,3.9365942,176
5,862422,28,Food,Medium,Chattogram,Food,15,Manufacturing,Chattogram,7,Small,19,5,2022,16,56,1,Bangladesh,Bengali,Establishment,Yes,2,Yes,Yes,Yes,,2021,6,30,Limited partnership,,60,No,100,0,0,0,No,No,,1998,45,1998,1,No,No,,No,,,Yes,100,1,0,20,,No,,No,,,-7,,,-7,,,No,No,,No,No,No,No,Moderate obstacle,Manufacturing of ,Manufacturing of Lentil pulses,,,,75,12000000,Twelve million,0,-9,Did not say the amount,-9,100,0,0,,,,,0,0,0,100,No,,,Grain of Lentil,No,,4,,No,0,No,0,No,Yes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Very severe obstacle,-7,-7,Major obstacle,-7,-7,No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with some effort,All managers and most production workers,No,,-7,-7,National_main product sold mostly across the country where establishment is located,15,No,No,No obstacle,No,,,,No,,,No,,30,54,Establishment was not in business,,0,-4,No,,,No,,,,No obstacle,Yes,,30000,No,,,No obstacle,50,0,0,30,20,Yes,0,30000,100,,0,,0,,0,,0,,0,,No,,,No,No,No,,,,,,,,,,,,,,No,No,Other,,No,No,No,No,Cash,Cash,Cash,-7,Cash,Major obstacle,Tend to disagree,Tend to agree,1,Yes,4,No,No,,0,,No,,,No,,,No,No,No,Strongly agree,Strongly agree,Tend to disagree,No obstacle,Minor obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,4,6,5,2,1,3,Tax procedures are too complicated,Fewer number of taxes,7,-9,-9,4,3,1,1,2,2,0,,0,,,,2,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Access to finance,7,15,3,5,6,14,1,9,2,8,4,10,11,12,13,700000,10000000,125000,-9,,-9,2500000,19,5,2022,17,42,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,1531,1061,Chittagong,Medium (20-99),Food,Panel,9.418511,15.323726,22.255825,84
6,862423,34,Food,Small,Khulna,Food,15,Manufacturing,Khulna,23,Medium,7,4,2022,16,12,1,Bangladesh,Bengali,Firm,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1980,10,1995,36,No,No,,No,,,No,,,,,,No,,No,,,No,,,No,,,No,No,,No,Yes,Yes,No,No obstacle,Manufacturing of ,Manufacturing of Mustard oil,,,,60,96000000,Ninety-six million,0,72000000,Seventy-two million,85000000,100,0,0,,,,,0,2,100,0,,,,Mustard grains,,,5,,No,20,No,5,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,No obstacle,-7,-7,No obstacle,No obstacle,We fixed it but did not take further action,No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,Only senior managers,No,,Non-managers are normally not promoted,Rarely or never,National_main product sold mostly across the country where establishment is located,20,No,No,No obstacle,No,,,,No,,,No,,60,54,Yes,6,0,0,No,,,No,,,,Major obstacle,Yes,,20000,No,,,No obstacle,100,0,0,0,0,Yes,150000,0,100,,0,,0,,0,,0,,0,,Yes,150000,0,Yes,No,No,,,,,,,,,,,,,,No,No,Collateral requirements were too high,,No,No,No,No,Cash,Cash,Cash,-7,Cash,Minor obstacle,Tend to agree,Tend to agree,1,No,,,No,,0,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to disagree,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,1,4,3,5,2,Tax procedures are too complicated,Higher thresholds for non-taxable income,23,23,24,19,4,19,0,0,0,0,,0,,,,3,No,,,,,,,,,,,,,-7,No obstacle,No obstacle,Access to land,14,10,8,15,9,5,4,3,13,1,11,2,7,12,6,2400000,80000000,1600000,1562000,,65000000,8600000,7,4,2022,18,33,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,No,No,Over 250.000 to 1 million,1514,1040,Khulna,Small (5-19),Food,Panel,24.076464,26.69976,24.00677,154
7,862424,39,Food,Small,Rajshahi,Wholesale,51,Other services,Rajshahi,22,Medium,24,5,2022,12,9,1,Bangladesh,Bengali,Establishment,Yes,18,No,,,Yes,2021,12,31,Partnership,,51,Yes,100,0,0,0,No,Yes,-9,2009,8,1989,33,No,Yes,ISO9001,No,,,Yes,55,1,0,1,,No,,No,,,,,,No,,,Yes,,,,,,,Moderate obstacle,Wholesale trade of ,Wholesale of food,,,,100,250000000,Two hundred fifty million,0,,,200000000,100,0,0,,,,,0,1,10,90,Yes,90,No,Milk,Yes,Quality of the product,5,,Yes,13,Yes,20,Yes,Yes,Very much,Moderately,Moderately,Not at all,Not at all,Not at all,Major obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,10 or more production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Only possible to achieve with extraordinary effort,All managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,,,,No,Minor obstacle,No,,,,No,,,Yes,-9,,,Yes,3,100,100,No,,,,,,,No obstacle,Yes,1,,No,,,Moderate obstacle,60,40,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,Yes,Private commercial banks,2018,-9,No,,,,,,,1,-9,-9,No,No,No need for a loan - establishment had sufficient capital,,Yes,Yes,Yes,No,Cash,Cash,Cash,Cash,Cash,No obstacle,Strongly disagree,Strongly disagree,1,Yes,2,No,No,,20,,No,,,No,,,No,No,No,Strongly agree,Strongly disagree,Strongly agree,Moderate obstacle,No obstacle,Minor obstacle,Major obstacle,Very severe obstacle,No obstacle,2,5,1,3,4,6,Tax officials are corrupt,Increased ease of paying taxes,18,15,15,,,2,14,2,,,-9,0,,,90,,Yes,,,,,,,Yes,"Personal development training such as working in a team, time-use, leadership, handling stress",TVET training institutes,Yes,"Personal development training such as working in a team, time-use, leadership, handling stress",TVET training institutes,No,No obstacle,No obstacle,Political instability,7,15,3,5,6,14,1,9,2,8,4,10,11,12,13,1900000,,125000,,,,,24,5,2022,12,56,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,No,No,City with population over 1 million,5122,4630,Rajshahi,Small (5-19),Food,Panel,34.130463,35.01562,30.04365,117
8,862425,41,Food,Small,Sylhet,Retail,52,Retail services,Sylhet,6,Small,9,8,2022,19,12,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Sole proprietorship,,100,No,100,0,0,0,No,No,,2007,6,2007,14,No,No,,No,,,Yes,60,1,0,10,,No,,No,,,,,,-7,,,No,,,,,,,No obstacle,Retail trade of ,Retail sale of sweet via stall,,,,100,15000000,Fifteen million,0,,,17000000,100,0,0,,,,,-7,,100,0,,,,Sweet,,,5,,Yes,14,No,0,Yes,No,Very much,Very much,Very much,Not at all,Not at all,Not at all,No obstacle,-7,-7,Moderate obstacle,No obstacle,-7,Yes,1-2 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Targets were not achieved,Only senior managers,No,,-7,-7,,,,No,No obstacle,No,,,,No,,,No,,,,Yes,20,100,100,No,,,,350,Square Feet,,Very severe obstacle,Yes,,12000,No,,,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,No,No,Size of loan and maturity were insufficient,,No,No,Yes,Yes,Cash,Cash,-7,-7,Cash,Very severe obstacle,Strongly disagree,-9,1,Yes,3,No,No,,0,,No,,,No,,,No,No,No,Strongly agree,-9,Tend to agree,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,6,2,3,5,1,0,Higher thresholds for non-taxable income,6,3,6,,,0,1,5,,,0,0,,,,1,No,,,,,,,,,,,,,No,No obstacle,Major obstacle,Access to finance,8,3,1,7,15,4,10,5,9,11,13,6,14,12,2,600000,,180000,,2700000,,,9,8,2022,20,4,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with different managers/staff,1,0,1,No,No,City with population over 1 million,5252,4789,Sylhet,Small (5-19),Food,Panel,13.276039,13.85239,16.311798,184
9,862426,46,Food,Large,Chattogram,Food,15,Manufacturing,Chattogram,60,Medium,22,6,2022,11,43,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2005,30,2005,17,No,No,,No,,,Yes,15,2,0,5,,Yes,5,No,,,No,,,No,,,No,No,,No,No,No,No,Moderate obstacle,Manufacturing of ,Manufacturing of wheat flour,,,,100,-9,,0,-9,Did not say the amount,-9,100,0,0,,,,,0,0,100,0,,,,Wheat,,,8,,Yes,15,No,0,No,No,Slightly,Slightly,Not at all,Not at all,Not at all,Not at all,No obstacle,-7,-7,Moderate obstacle,Minor obstacle,-7,No,,No,,,,No,,-7,-7,National_main product sold mostly across the country where establishment is located,6,No,No,No obstacle,No,,,,No,,,No,,-9,144,Yes,-9,100,100,No,,,No,,,,No obstacle,No,,,No,,,No obstacle,-9,-9,-9,-9,-9,No,,,,,,,,,,,,,,,No,,,Yes,-9,-9,,,,,,,,,,,,,,-9,No,-9,,No,No,No,No,Cheque,Cheque,Cheque,Cheque,Cheque,No obstacle,Tend to agree,Tend to agree,50,No,,,No,,0,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,5,2,3,1,4,6,Too difficult or long to receive refunds,Increased enforcement or monitoring by the government,60,60,60,50,10,40,10,0,0,0,,0,,,10,,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Tax rates,6,5,11,10,2,1,8,13,3,7,15,4,14,12,9,-9,-9,-9,-9,,-9,-9,22,6,2022,12,28,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,1532,1062,Chittagong,Large (100 or more),Food,Panel,1.2937214,2.5674982,3.715318,97
