idstd,a0,a4b,d2,z1,z1_log,x1,l1,l6,a6b,L1_CODE,L1_NAME,L2_CODE,L2_NAME,L3_CODE,L3_NAME,lat_mask,lon_mask,Rank
531201,1,Food,309935897.4,455788.0845,13.02978545,680,600,80,3,30,Dhaka,3026,Dhaka,302654,Motijheel,23.741411,90.419716,454
531202,1,Electronics / Electrical,144230769.2,2403846.154,14.69258099,60,60,0,2,30,Dhaka,3026,Dhaka,302628,Hazaribagh,23.752016,90.342064,1112
531203,1,Leather,865384615.4,7867132.867,15.87820437,110,110,0,3,30,Dhaka,3026,Dhaka,302638,Keraniganj,23.733946,90.34554,1302
531204,1,Garments,1602564103,890313.3903,13.69932993,1800,1800,0,3,30,Dhaka,3026,Dhaka,302604,Badda,23.783726,90.42446,767
531205,1,Garments,2243589744,747863.2479,13.52497675,3000,3000,0,3,30,Dhaka,3026,Dhaka,302626,Gulshan,23.802618,90.39959,684
531206,1,Garments,1153846154,1048951.049,13.86330218,1100,1100,0,3,30,Dhaka,3026,Dhaka,302630,Kafrul,23.784666,90.37843,846
531207,1,Machinery & Equipment,480769230.8,4370629.371,15.29041781,110,110,0,3,30,Dhaka,3026,Dhaka,302680,Sher-e-bangla Nagar,23.760597,90.38588,1220
531208,1,Garments,256410256.4,298151.4609,12.60536025,860,860,0,3,30,Dhaka,3026,Dhaka,302680,Sher-e-bangla Nagar,23.78289,90.37208,312
531209,1,Garments,192307692.3,549450.5495,13.21667588,350,350,0,3,30,Dhaka,3026,Dhaka,302628,Hazaribagh,23.756609,90.34482,538
531210,1,Garments,320512820.5,915750.9158,13.72750077,350,350,0,3,30,Dhaka,3026,Dhaka,302633,Kalabagan,23.75303,90.37885,775
531211,1,Garments,961538461.5,2403846.154,14.69258099,400,250,150,3,30,Dhaka,3026,Dhaka,302626,Gulshan,23.800697,90.41998,1112
531212,1,Textiles,288461538.5,169683.2579,12.04169468,1700,1700,0,3,30,Dhaka,3026,Dhaka,302668,Sabujbagh,23.737932,90.43695,140
531213,1,Garments,489423076.9,1092462.225,13.90394554,448,448,0,3,30,Dhaka,3026,Dhaka,302690,Tejgaon,23.753035,90.3902,868
531214,1,Food,15384615.38,1282051.282,14.0639727,12,12,0,1,30,Dhaka,3026,Dhaka,302692,Tejgaon Ind. Area,23.761206,90.39873,924
531215,1,Garments,547275641,547275.641,13.2127097,1000,1000,0,3,30,Dhaka,3026,Dhaka,302626,Gulshan,23.803747,90.41837,537
531216,1,Machinery & Equipment,2243589.744,448717.9487,13.01415202,5,5,0,1,30,Dhaka,3026,Dhaka,302630,Kafrul,23.808098,90.36688,447
531217,1,Garments,416666666.7,833333.3333,13.6331902,500,500,0,3,30,Dhaka,3026,Dhaka,302605,Bangshal,23.71698,90.401184,741
531218,1,Garments,1057692308,2115384.615,14.56474768,500,500,0,3,30,Dhaka,3026,Dhaka,302648,Mirpur,23.789341,90.35195,1081
531219,1,Textiles,1018750000,2910714.286,14.88390941,350,350,0,3,30,Dhaka,3026,Dhaka,302680,Sher-e-bangla Nagar,23.771017,90.37546,1155
531220,1,Textiles,2323717949,1602564.103,14.28711609,1450,1450,0,3,30,Dhaka,3026,Dhaka,302636,Khilgaon,23.76394,90.43586,989
531221,1,Textiles,2387820513,1836785.01,14.42352787,1300,1100,200,3,30,Dhaka,3026,Dhaka,302667,Rampura,23.767574,90.42548,1039
531222,1,Textiles,1362179487,1464709.126,14.19716791,930,900,30,3,30,Dhaka,3026,Dhaka,302629,Jatrabari,23.716383,90.43485,972
531223,1,Textiles,865384615.4,1730769.231,14.36407709,500,500,0,3,30,Dhaka,3026,Dhaka,302692,Tejgaon Ind. Area,23.76273,90.401924,1025
531224,1,Machinery & Equipment,2403846.154,600961.5385,13.30628788,4,4,0,1,30,Dhaka,3026,Dhaka,302648,Mirpur,23.785759,90.36183,579
531225,1,Chemicals,29647435.9,293538.9693,12.58976909,101,91,10,3,30,Dhaka,3026,Dhaka,302638,Keraniganj,23.704945,90.39253,309
531226,1,Chemicals,11538461538,3722084.367,15.12979465,3100,2600,500,3,30,Dhaka,3026,Dhaka,302692,Tejgaon Ind. Area,23.761591,90.40072,1202
531227,1,Chemicals,1282051282,1068376.068,13.8816513,1200,1200,0,3,30,Dhaka,3026,Dhaka,302626,Gulshan,23.783623,90.4145,847
531228,1,Chemicals,384615384.6,1538461.538,14.24629412,250,250,0,3,30,Dhaka,3026,Dhaka,302675,Shahbagh,23.746788,90.39196,980
531229,1,Chemicals,544871794.9,7567663.818,15.8393951,72,72,0,2,30,Dhaka,3026,Dhaka,302609,Chak Bazar,23.726282,90.39741,1299
531230,1,Garments,480769230.8,1201923.077,13.99943423,400,400,0,3,30,Dhaka,3026,Dhaka,302611,Darus Salam,23.792337,90.34112,906
531231,1,Leather,320512820.5,2465483.235,14.71789879,130,100,30,2,30,Dhaka,3026,Dhaka,302642,Lalbagh,23.723839,90.37956,1118
531232,1,Leather,64102564.1,1068376.068,13.8816513,60,30,30,2,30,Dhaka,3026,Dhaka,302642,Lalbagh,23.727535,90.35865,847
531233,1,Machinery & Equipment,4807692.308,240384.6154,12.38999964,20,20,0,2,30,Dhaka,3026,Dhaka,302654,Motijheel,23.7338,90.416405,240
531234,1,Textiles,576923076.9,721153.8462,13.48860916,800,800,0,3,30,Dhaka,3026,Dhaka,302668,Sabujbagh,23.745577,90.42701,669
531235,1,Textiles,961538461.5,1158480.074,13.96262029,830,830,0,3,30,Dhaka,3026,Dhaka,302605,Bangshal,23.719755,90.40082,897
531236,1,Garments,961538461.5,1068376.068,13.8816513,900,700,200,3,30,Dhaka,3026,Dhaka,302695,Uttara,23.87862,90.38237,847
531237,1,Food,59294871.79,296474.359,12.59971939,200,200,0,3,30,Dhaka,3026,Dhaka,302668,Sabujbagh,23.731598,90.43405,311
531238,1,Leather,1041666667,6510416.667,15.68891417,160,150,10,3,30,Dhaka,3026,Dhaka,302663,New Market,23.743637,90.38632,1290
