idstd,a0,d2,z1,z1_log,x1,l1,l6,a6b,L1_CODE,L1_NAME,L2_CODE,L2_NAME,L3_CODE,L3_NAME,lat_mask,lon_mask,Rank,a4b
862417,Manufacturing,1000000000,3906250,15.17808865,256,156,100,Large,40,Khulna,4047,Khulna,404751,Khulna Sadar,22.798527,89.57104,893,Food
862418,Manufacturing,710000000,3776595.745,15.14433383,188,112,76,Large,40,Khulna,4047,Khulna,404775,Rupsa,22.792728,89.59695,886,Food
862419,Manufacturing,700000000,5600000,15.53827733,125,125,0,Large,40,Khulna,4047,Khulna,404751,Khulna Sadar,22.80452,89.5762,914,Food
862420,Manufacturing,126000000,630000,13.35347669,200,200,0,Large,20,Chittagong,2015,Chittagong,201561,Patiya,22.297947,91.856064,562,Food
862421,Manufacturing,400000000,3809523.81,15.15301502,105,75,30,Medium,40,Khulna,4047,Khulna,404775,Rupsa,22.792221,89.59445,889,Food
862422,Manufacturing,12000000,1714285.714,14.35450764,7,7,0,Small,20,Chittagong,2015,Chittagong,201510,Bakalia,22.346008,91.85715,808,Food
862423,Manufacturing,96000000,4173913.043,15.24436477,23,23,0,Medium,40,Khulna,4041,Jessore,404147,Kotwali,23.16031,89.199776,898,Food
862424,Other services,250000000,13888888.89,16.44659979,18,18,0,Medium,50,Rajshahi,5010,Bogra,501020,Bogra Sadar,24.83658,89.36032,943,Retail
862425,Other services,15000000,2500000,14.73180169,6,6,0,Small,60,Sylhet,6091,Sylhet,609162,Sylhet Sadar,24.900188,91.85561,847,Retail
862427,Manufacturing,8000000,400000,12.89922233,20,20,0,Medium,50,Rajshahi,5010,Bogra,501054,Kahaloo,24.816225,89.18435,364,Food
862428,Manufacturing,8800000,283870.9677,12.5562786,31,31,0,Medium,30,Dhaka,3026,Dhaka,302638,Keraniganj,23.705954,90.40424,267,Food
862429,Manufacturing,128000000,3657142.857,15.11219303,35,35,0,Medium,40,Khulna,4041,Jessore,404147,Kotwali,23.140615,89.24149,885,Food
862430,Manufacturing,22800000,912000,13.72339637,25,25,0,Medium,30,Dhaka,3026,Dhaka,302672,Savar,23.774073,90.339294,705,Food
862431,Manufacturing,25000000,5000000,15.42494867,5,5,0,Small,50,Rajshahi,5076,Pabna,507655,Pabna Sadar,23.97857,89.26757,906,Food
862432,Manufacturing,1200000,171428.5714,12.0519278,7,5,2,Small,50,Rajshahi,5081,Rajshahi,508122,Boalia,24.382164,88.61319,81,Food
862433,Manufacturing,8000000,400000,12.89922233,20,20,0,Medium,20,Chittagong,2015,Chittagong,201519,Chandgaon,22.367435,91.85452,364,Food
862434,Manufacturing,15000000,428571.4286,12.96821503,35,35,0,Medium,60,Sylhet,6091,Sylhet,609131,Dakshin Surma,24.859945,91.87373,409,Food
862435,Manufacturing,15000000,1000000,13.81551156,15,15,0,Small,40,Khulna,4041,Jessore,404147,Kotwali,23.149961,89.21591,716,Food
862436,Manufacturing,75000000,576923.0769,13.26546595,130,130,0,Large,60,Sylhet,6091,Sylhet,609131,Dakshin Surma,24.857069,91.90076,521,Food
862437,Manufacturing,10000000,500000,13.12236538,20,20,0,Medium,50,Rajshahi,5081,Rajshahi,508122,Boalia,24.376532,88.596954,457,Food
862438,Manufacturing,1300000,260000,12.46844076,5,5,0,Small,50,Rajshahi,5076,Pabna,507655,Pabna Sadar,23.976086,89.267456,233,Food
862439,Manufacturing,7000000,583333.3333,13.27651577,12,12,0,Small,20,Chittagong,2015,Chittagong,201561,Patiya,22.315102,91.83202,525,Food
862440,Manufacturing,2220000,370000,12.82126099,6,6,0,Small,30,Dhaka,3026,Dhaka,302672,Savar,23.779116,90.28501,349,Food
862441,Other services,3050000,305000,12.62807033,10,10,0,Small,20,Chittagong,2015,Chittagong,201519,Chandgaon,22.379704,91.85439,299,Retail
862442,Manufacturing,12500000,694444.4444,13.45086888,18,18,0,Medium,20,Chittagong,2015,Chittagong,201541,Kotwali,22.339205,91.82439,604,Food
862443,Other services,20000000,222222.2222,12.31143766,90,90,0,Large,30,Dhaka,3026,Dhaka,302629,Jatrabari,23.717451,90.43374,177,Hotel and Restaurants
862444,Manufacturing,6000000,666666.6667,13.41004695,9,9,0,Small,30,Dhaka,3026,Dhaka,302675,Shahbagh,23.73498,90.388535,584,Food
862445,Manufacturing,40000000,307692.3077,12.63685881,130,130,0,Large,50,Rajshahi,5010,Bogra,501020,Bogra Sadar,24.868073,89.34735,300,Food
