Qcode,Null_2013,Null_2022,Type,QUESTION_2013,QUESTION_2022,process
k5f,1062,841,Percent,"2011/2012 회계연도 동안 이 시설의 총 고정 자산 구매 중 다음 각 출처에서 자금을 조달한 비율을 추정하십시오.
공급업체로부터 신용 구매 및 고객으로부터 선지급",회계연도[최근 전체 회계 연도 삽입] 동안 다음 출처에서 자금을 조달한 고정 자산의 총 구매 비율을 표시해라_공급업체로부터 신용 구매 및 고객으로부터 선지급,Null
a0,0,0,Nominal,manufacturing 인가?,module,Null
a1a,,0,,언어코드 작성,Laguage,Null
a2,0,0,Nominal,Smapling Region,Sampling location,
c11,579,735,Percent,2011/2012 회계연도에 이 시설의 전기 중 몇 퍼센트가 시설이 소유하거나 공유하는 발전기에서 나왔습니까?(백분율),이 시설의 전기 중 몇 퍼센트가 해당 발전기에서 나왔습니까?,Null
b4a,1190,928,Percent,회사의 몇 퍼센트가 여성 소유입니까?,여성 소유 비율은?,Null
a3a,0,0,Nominal,Screener Region,Screener region,
a3x,,,Text,Name of city/town/village,Name of city/town/village,Null
a4a,0,0,Nominal,샘플링 산업구분,Sampling sector,
a6a,0,0,Nominal,샘플링 사이즈,Sampling size,
c14,1415,993,Nominal,수도 연결 신청과 관련하여 비공식적인 선물이나 지불이 예상되거나 요청되었습니까?,해당 신청서와 관련하여 비공식적인 선물이나 지불을 기대하거나 요청했습니까?,Null
a6b,0,0,Nominal,스크리너 사이즈,Screener Size,Null
d4,1184,924,Continuous,"2011/2012 회계연도에 이 시설이 상품을 직접 수출했을 때 이 시설의 상품이 주요 출구(예: 항구, 공항)에 도착한 때부터 이 상품이 세관을 
통과할 때까지 평균적으로 며칠이 걸렸습니까?","회계연도[최근 회계연도 삽입]에서 이 시설이 상품을 직접 수출했을 때, 이 시설의 상품이 주요 수출 지접(예: 항구, 공항)에 도착한 시간부터 다음 시간까지 평균적으로 며칠이 걸렸습니까?
통관까지 걸리는 평균 일수(Day)",Null
a7,0,0,Nominal,이 회사가 더 큰 회사의 일부인가?,Multi-establishment,Null
i2a,,856,,2011/2012 회계연도에 이 시설의 연간 총 매출 중 몇 퍼센트가 보증금으로 지불되었습니까? 또는 연간 총 경비는 얼마입니까?(연간 총 보안 매출 비중),이 시설의 연간 총 매출 중 보안을 위해 지불한 비율은 몇 퍼센트입니까?,Null
j15,1387,981,Nominal,운영 면허 신청과 관련하여 비공식적인 선물이나 지불이 예상되거나 요청되었습니까?,운영 허가 신청서와 관련하여 비공식적인 선물이나 지불이 기대되거나 요청되었습니까?,Null
l11b,1068,963,Percent,"2011/2012 회계 연도에 실행된 교육 프로그램을 참조하면 다음 범주의 정규 직원 중 몇 퍼센트가 공식 교육을 받았습니까?
비생산 저규직 직원 교육",훈련 프로그램을 언급할 때 다음 범주의 상근 풀타임 근로자 중 공식 훈련을 받은 비율은 몇 퍼센트입니까?_비생산 상근 정규직 근로자 교육_백분율,Null
b1,1,2,Nominal,회사의 법적 지위,이 회사의 현재 법적 지위는 무엇입니까?,Null
k5i,1062,841,Percent,"2011/2012 회계연도 동안 이 시설의 총 고정 자산 구매 중 다음 각 출처에서 자금을 조달한 비율을 추정하십시오.
Owners’ contribution or issued new equity shares",회계연도[최근 전체 회계 연도 삽입] 동안 다음 출처에서 자금을 조달한 고정 자산의 총 구매 비율을 표시해라_소유자의 출자 또는 신주 발행,Null
b2a,0,0,Percent,회사 지분 소유 퍼센트(답변 4개 합쳐서 100%),"다음은 이 회사의 몇 퍼센트를 소유하고 있습니까?
개인 국내 개인, 회사 또는 조직",
d14,1132,920,Continuous,"2011/2012 회계연도에 이 시설이 재료 투입물이나 공급품을 수입했을 때, 이러한 상품이 입국 지점(예: 항구, 공항)에 도착한 때부터 해당 상
품을 수령할 수 있는 시간까지 평균적으로 며칠이 걸렸습니까?(통관에 소요되는 평균 일수)","이 시설이 이러한 재료 투입물 또는 공급품을 수입할 때, 이러한 물품이 입국 지점(예: 항구, 공항)에 도착한 때부터 세관에서 물품을 처구할 수 있을 때까지 평균적으로 며칠이 걸렸습니까?",Null
b2b,0,0,Percent,회사 지분 소유 퍼센트(답변 4개 합쳐서 100%),"다음은 이 회사의 몇 퍼센트를 소유하고 있습니까?
민간 외국인, 회사 또는 조직",
b2c,0,0,Percent,회사 지분 소유 퍼센트(답변 4개 합쳐서 100%),"다음은 이 회사의 몇 퍼센트를 소유하고 있습니까?
정부 또는 국가",
b2d,0,0,Percent,회사 지분 소유 퍼센트(답변 4개 합쳐서 100%),"다음은 이 회사의 몇 퍼센트를 소유하고 있습니까?
기타",
b3,15,18,Percent,회사 최대주주의지분 소유 퍼센트,이 회사의 최대 소유주는 몇 퍼센트를 소유합니까?,
b4,1,2,Nominal,회사 오너 중에 여성이 있는가?,회사 오너 중에 여성이 있습니까?,
b5,5,5,,이 시설은 몇년도에 운영을 시작했습니까?,이 시설은 몇 년도에 운영을 시작했습니까?,
b6,76,75,Continuous,기업이 운영을 시작했을 때 몇 명의 full-time 직원을 고용했습니까? 모든 직원과 관리자를 포함하십시오,이 시설이 운영을 시작했을 때 정규직 근로자는 몇 명이었습니까? 모든 근로자와 관리자를 포함하십시오.,
b6b,74,32,,이 시설은 몇 년도에 공식적으로 등록되었습니까?,이 시설은 몇 년도에 공식적으로 등록되었습니까?,
b7,9,13,Continuous,최고 관리자는 이 분야에서 몇 년 동안 일했습니까?,최고 관리자는 이 분야에서 몇 년 동안 일했습니까?,
b7a,0,0,Nominal,최고 관리자는 여자인가요?,최고관리자는 여자인가요?,
j6,1386,973,Percent,"이와 같은 시설이 정부와 거래할 때 계약을 확보하기 위해 일반적으로 계약 금액의 몇 퍼센트를 비공식적인 지불이나 선물로 지불합니까?
비공식 지급 또는 선물로 지급된 계약 가치의 비율",시설이 정부와 거래할 때 계약을 확보하기 위해 일반적으로 계약 금액의 몇 퍼센트를 비공식적인 지불이나 선물로 지불합니까?,Null
d8,1081,879,,이 시설이 처음 직간접적으로 수출한 연도는 언제입니까?,"이 시설이 처음 직간접적으로 수출한 연도는 언제입니까?
Year",Null
b8,15,4,Nominal,"이 시설은 국제적으로 인정받는 품질 인증을 가지고 있습니까?
(예: some examples are ISO 9000 or 14000, or HACCP)",이 시설은 국제적으로 인정되는 품질 인증을 받았습니까?,
c10,0,1,Nominal,2011/2012 회계연도 동안 이 시설은 발전기를 소유했거나 공유했습니까?,회계연도[마지막 전체 회계연도 삽입] 동안 이 시설은 발전기를 소유했거나 공유했습니까?,
n5a,1076,822,Continuous,"2011/2012 회계연도에 이 시설에서 다음 항목을 구입하는 데 지출한 금액
기계, 차량 및 장비(신규 또는 중고)(Taka)","회계연도 [마지막 회계 연도 삽입]에 이 시설은 신규 또는 중고 기계, 차량 및 장비의 구매에 얼마를 소비했습니까?(Taka)",Null
c12,1,0,Nominal,지난 2년 동안 이 시설은 수도 연결을 얻기 위해 신청서를 제출했습니까?,지난 2년 동안 이 시설이 상수도 연결을 신청했습니까?,
c15,341,456,Nominal,2011/2012 회계연도 동안 이 시설은 생산을 위한 물 공급이 충분하지 않았습니까?,회계연도[최종 회계연도 삽입] 동안 이 시설은 생산을 위한 물 공급이 충분하지 않았습니까?,
c22b,1,3,Nominal,현재 이 시설에는 자체 웹사이트가 있습니까?,현재 이 시설에 자체 웹사이트나 소셜 미디어 페이지가 있습니까?,
c3,2,0,Nominal,지난 2년 동안 이 시설은 전기 연결을 얻기 위해 신청서를 제출했습니까?,지난 2년 동안 이 시설에서 전기 연결을 신청했습니까?,
c30a,2,5,Nominal,전기가 이 시설의 현재 운영에 어느 정도 장애가 됩니까 ,카드의 응답 옵션 사용 전기가 이 시설의 현재 운영에 어느 정도 장애가 됩니까?,
c9b,512,965,Continuous,정전으로 인한 손실을 연간 총 매출의 백분율 또는 연간 총 손실로 추정하십시오._정전으로 인한 연간 손실(Taka),"정전으로 인한 손실을 연간 총 매출의 백분율 또는 연간 총 손실로 추정하십시오.
Taka",
c17,1376,988,Continuous, 물 공급 부족 사건은 평균적으로 얼마나 오래 지속되었습니까?(시간단위),"이러한 물 공급 부족 사건은 평균적으로 얼마나 오래 지속되었습니까?
Hour",Null
k15c,1373,827,Continuous,"이 시설이 보유하고 있는 미결제 대출 또는 신용 한도의 총액은 얼마입니까?
Taka",이 시설이 보유하고 있는 모든 개설 신용 한도 및 대출의 총 미결제 잔액은 얼마입니까?(모든 열린 신용 한도 및 대출의 총 미결제 잔액),Null
c6,0,1,Nominal,2011/2012 회계연도 동안 이 시설에서 정전이 발생했습니까?,회계연도[마지막 전체 회계연도 삽입] 동안 이 시설에서 정전이 발생했습니까?(생산에 영향을 미치지 않는 정전은 포함되지 않음),
k11,920,780,Continuous,"가장 최근의 대출 또는 신용 한도만 언급하면 승인 당시의 가치는 얼마였습니까?
Taka",신용 한도 또는 대출이 승인되었을 때 그것의 가치는 얼마였습니까?(Taka),Null
c7,485,266,Continuous,2011/2012 회계연도 동안 일반적인 한 달 동안 이 시설에서 정전이 몇 번 발생했습니까?,보통 한 달에 이 시설에서 정전이 몇 번이나 발생했습니까?,
c13,1419,994,Continuous,그 수도 연결 신청과 관련하여 신청일로부터 서비스를 받은 날까지 대략 며칠이 걸렸습니까?,그 신청과 관련하여 신청일로부터 서비스를 받은 날까지 대략 며칠 정도 걸렸습니까?,Null
c9a,,406,,정전으로 인한 손실을 연간 총 매출의 백분율 또는 연간 총 손실로 추정하십시오._정전으로 인한 연간 총 매출 대비 손실 비율,정전으로 인한 손실을 연간 총 매출의 백분율 또는 연간 총 손실로 추정하십시오.,
l6a,1118,800,Continuous,,[마지막 전체 회계 연도 삽입] 동안 이 시설에 몇 명의 상근 계절 근로자 또는 임시 근로자가 있었습니까?_여성은 몇 명?,Null
n2i,1344,869,Continuous,"이 시설의 2011/2012 회계연도 손익계산서에서 다음 정보를 제공하십시오.
총 연간 전기 비용(Taka)",이 시설의 회계 연도 손익 계산서를 보고 재판매를 위해 구매한 완제품 및 자재의 연간 총 비용을 적어라(Taka),Null
d10,129,224,Percent,"2011/2012 회계연도에 이 시설이 국내 시장에 공급하기 위해 선적한 제품 가치 중 도난으로 인해 운송 중에 손실된 제품의 비율은 몇 퍼센트입니
까?","회계 연도[최근 전체 회계 연도 삽입]에 이 시설이 국내 시장에 공급하기 위해 선적한 제품 가치 중 다음 각 요인으로 인해 운송 중에 손실된 제품의 비율은 몇 퍼센트입니까?
Theft?",
j7b,383,980,Continuous,"시설은 관세, 세금, 면허, 규정, 서비스 등과 관련하여 ""일을 처리""하기 위해 때때로 공무원에게 선물이나 비공식적인 금전을 제공해야 한다고 합니다. 연간 가치, 이와 같은 시설은 이러한 목적으로 공무원에게 비공식 지불이나 선물을 지불합니까?
총 연간 비공식 지불(Taka)","시설은 관세, 세금, 면허, 규정, 서비스 등과 관련하여 ""일을 처리""하기 위해 때때로 공무원에게 선물이나 비공식적인 금전을 제공해야 한다고 합니다. 평균적으로 연간 총 매출 또는 예상 총 연간 가치의 몇 퍼센트 , 이와 같은 시설은 이러한 목적으로 공무원에게 비공식적인 지불이나 선물을 지불합니까?_Taka단위",Null
j12,1394,989,Nominal,수입 허가 신청과 관련하여 비공식적인 선물이나 지불이 예상되거나 요청되었습니까?,수입 허가 신청서와 관련하여 비공식적인 선물이나 지불이 기대되거나 요청되었습니까?,Null
d11,135,227,Percent,2011/2012 회계연도에 이 시설이 국내 시장에 공급하기 위해 선적한 제품 중 파손 또는 손상으로 인해 운송 중에 손실된 제품의 가치는 몇 퍼센트입니까?,"회계 연도[최근 전체 회계 연도 삽입]에 이 시설이 국내 시장에 공급하기 위해 선적한 제품 가치 중 다음 각 요인으로 인해 운송 중에 손실된 제품의 비율은 몇 퍼센트입니까?
Breakage or spoilage?",
d12a,263,9,Percent,2011/2012 회계연도에 해당 연도에 구매한 모든 재료 투입물 또는 공급품의 비율로서 이 시설의 재료 투입물 또는 공급품 중 몇 퍼센트가 국내산 재료 투입물 또는 공급품이었는가?,"회계연도[마지막 전체 회계연도 삽입]에 이 시설의 재료 투입물 또는 공급품 구매 비율은 몇 퍼센트입니까?
국내산",
